Source	Target	Type	Label	Wheigt
/BD_119	/BND_837	UnDirected	a-occident	1
/BD_119	/R_8	UnDirected	a-orient	1
/BD_12	/BD_11	UnDirected	a-circio	1
/BD_12	/BD_12	UnDirected	a-orient	1
/BD_12	/BD_13	UnDirected	a-meridie	1
/BD_12	/R_54	UnDirected	a-occident	1
/BD_120	/BD_119	UnDirected	a-circio	1
/BD_120	/BND_837	UnDirected	a-occident	1
/BD_120	/R_74	UnDirected	a-meridie	1
/BD_120	/R_8	UnDirected	a-orient	1
/BD_121	/BD_122	UnDirected	a-occident	1
/BD_121	/BND_837	UnDirected	a-orient	1
/BD_121	/BND_837	UnDirected	a-circio	1
/BD_121	/R_74	UnDirected	in	1
/BD_121	/R_74	UnDirected	a-meridie	1
/BD_122	/BD_117	UnDirected	a-circio	1
/BD_122	/BD_121	UnDirected	a-orient	1
/BD_122	/BD_123	UnDirected	a-occident	1
/BD_122	/BD_446	UnDirected	a-meridie	1
/BD_122	/R_74	UnDirected	a-meridie	1
/BD_122	/R_74	UnDirected	in	1
/BD_123	/BD_117	UnDirected	a-circio	1
/BD_123	/BD_124	UnDirected	a-occident	1
/BD_123	/BD_445	UnDirected	a-orient	1
/BD_123	/BD_90	UnDirected	a-occident	1
/BD_123	/R_96	UnDirected	a-meridie	1
/BD_124	/BD_123	UnDirected	a-orient	1
/BD_124	/BD_123	UnDirected	a-circio	1
/BD_124	/BD_91	UnDirected	a-occident	1
/BD_124	/R_96	UnDirected	a-meridie	1
/BD_124	/R_96	UnDirected	prope	1
/BD_125	/BD_126	UnDirected	a-meridie	1
/BD_125	/R_14	UnDirected	in	1
/BD_125	/R_14	UnDirected	a-orient	1
/BD_126	/BD_103	UnDirected	a-meridie	1
/BD_126	/BD_125	UnDirected	a-circio	1
/BD_126	/BND_838	UnDirected	a-occident	1
/BD_126	/R_14	UnDirected	a-orient	1
/BD_127	/BD_128	UnDirected	a-meridie	1
/BD_127	/BND_839	UnDirected	a-circio	1
/BD_127	/Mur_402	UnDirected	a-occident	1
/BD_127	/R_12	UnDirected	in	1
/BD_127	/R_12	UnDirected	a-orient	1
/BD_128	/BD_127	UnDirected	a-circio	1
/BD_128	/BD_129	UnDirected	a-meridie	1
/BD_128	/BND_840	UnDirected	a-occident	1
/BD_128	/R_12	UnDirected	in	1
/BD_128	/R_12	UnDirected	a-orient	1
/BD_128	/R_12	UnDirected	in	1
/BD_129	/BD_128	UnDirected	a-circio	1
/BD_129	/BD_130	UnDirected	a-meridie	1
/BD_129	/BD_131	UnDirected	a-circio	1
/BD_129	/BD_131	UnDirected	a-orient	1
/BD_129	/BND_841	UnDirected	a-occident	1
/BD_129	/BND_842	UnDirected	a-occident	1
/BD_129	/RN_00125	UnDirected	a-meridie	1
/BD_13	/BD_12	UnDirected	a-circio	1
/BD_13	/BD_14	UnDirected	a-meridie	1
/BD_13	/R_54	UnDirected	a-orient	1
