"id","nom","nomlatin","type","the_geom","xcoord","ycoord","idsave","datePremiereMention","dateDebutConst1","dateFinConst1","dateDestr1","dateDebutConst2","dateFinConst2","dateDestr2"
586,NULL,NULL,"Tour","01010000206A0800003D0175053ECA2941B20A1A118D195841","845087.010658301","6317620.26721446",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
587,NULL,NULL,"Tour","01010000206A080000AA324C221FCC2941EFB005F799195841","845327.566987594","6317671.85972236",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
588,NULL,NULL,"Tour","01010000206A08000035B92D961BCD2941F86EDD83A4195841","845453.793317592","6317714.06039023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
589,NULL,NULL,"Tour","01010000206A0800005727D14208CE29414A2AE74FAD195841","845572.130501966","6317749.2484842",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
590,NULL,NULL,"Tour","01010000206A0800009E108C748BCF29410A7BB9C7CF195841","845765.72763111","6317887.12069584",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
591,NULL,NULL,"Tour","01010000206A080000DEC6C59FE9CF294161E3B1DBE9195841","845812.812055792","6317991.43273243",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
592,NULL,NULL,"Tour","01010000206A080000E166400F51D0294131FC7BB8051A5841","845864.529788222","6318102.88256745",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
593,NULL,NULL,"Tour","01010000206A08000026CA6882C0D02941C081FCF4201A5841","845920.254705732","6318211.82791179",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
594,NULL,NULL,"Tour","01010000206A080000CB4BBAF32BD129414885E2E03A1A5841","845973.976030701","6318315.51382572",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
595,NULL,NULL,"Tour","01010000206A080000409EBF2CA8D12941818686215F1A5841","846036.087399431","6318460.52383578",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
596,NULL,NULL,"Tour","01010000206A0800005EE655AB19D1294121948F50911A5841","845964.834639739","6318661.25876334",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
597,NULL,NULL,"Tour","01010000206A080000908F525B6BD02941449CF992961A5841","845877.678364264","6318682.29648501",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
598,NULL,NULL,"Tour","01010000206A080000FFAED68DC2CF2941519B1EC8A11A5841","845793.277028531","6318727.12686809",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
599,NULL,NULL,"Tour","01010000206A08000023B1CF2CEFCE294114855F0CAB1A5841","845687.587522064","6318764.19333007",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
600,NULL,NULL,"Tour","01010000206A0800008429504E21CE2941A49265D0B31A5841","845584.652955339","6318799.25619951",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
601,NULL,NULL,"Tour","01010000206A080000B38C29B241CC2941D451DE32B91A5841","845344.847973248","6318820.79481931",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
602,NULL,NULL,"Tour","01010000206A0800005CE282BE45CB29410C4BDBD0B41A5841","845218.872092317","6318803.26338459",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
603,"Tour Langlade",NULL,"TourR","01010000206A0800008CA7E80C4CC8294126F62EA39C1A5841","844838.025212513","6318706.5497413",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
604,"Tour du Mail",NULL,"TourR","01010000206A0800000BC9A852D4C629419428BFCC481A5841","844650.16144398","6318371.19916739",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
605,NULL,NULL,"TourR","01010000206A0800007A229DBB31C62941BD69A75E281A5841","844568.866433217","6318241.47896808",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
606,"Tour dite des chiens",NULL,"TourO","01010000206A080000406A052395C92941C5B6E63EB61A5841","845002.568400688","6318808.98283166",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
