idRue,idRue2,lienArtificiel
3,108,confronte avec
4,81,confronte avec
4,108,confronte avec
6,812,confronte avec
7,14,confronte avec
7,105,confronte avec
8,16,confronte avec
8,74,confronte avec
8,713,confronte avec
10,19,confronte avec
12,13,confronte avec
13,12,confronte avec
13,14,confronte avec
13,96,confronte avec
13,109,confronte avec
14,7,confronte avec
14,13,confronte avec
14,15,confronte avec
14,96,confronte avec
14,109,confronte avec
15,14,confronte avec
16,8,confronte avec
16,17,confronte avec
16,69,confronte avec
16,904,confronte avec
17,16,confronte avec
17,18,confronte avec
17,20,confronte avec
17,69,confronte avec
17,904,confronte avec
18,17,confronte avec
18,19,confronte avec
18,20,confronte avec
19,10,confronte avec
19,18,confronte avec
20,18,confronte avec
20,21,confronte avec
21,20,confronte avec
22,23,confronte avec
22,24,confronte avec
23,22,confronte avec
23,24,confronte avec
24,22,confronte avec
24,23,confronte avec
24,39,confronte avec
24,619,confronte avec
25,65,confronte avec
25,489,confronte avec
25,710,confronte avec
26,105,confronte avec
26,806,confronte avec
27,47,confronte avec
27,543,confronte avec
27,710,confronte avec
27,806,confronte avec
28,42,confronte avec
28,48,confronte avec
28,67,confronte avec
28,72,confronte avec
28,543,confronte avec
29,49,confronte avec
29,89,confronte avec
29,544,confronte avec
30,73,confronte avec
30,544,confronte avec
32,39,confronte avec
34,36,confronte avec
36,34,confronte avec
37,489,confronte avec
37,619,confronte avec
39,24,confronte avec
39,32,confronte avec
39,619,confronte avec
40,43,confronte avec
40,44,confronte avec
41,640,confronte avec
42,28,confronte avec
42,485,confronte avec
42,811,confronte avec
43,40,confronte avec
43,46,confronte avec
43,100,confronte avec
43,101,confronte avec
44,40,confronte avec
44,107,confronte avec
46,43,confronte avec
47,27,confronte avec
47,710,confronte avec
47,806,confronte avec
48,28,confronte avec
48,67,confronte avec
48,72,confronte avec
48,88,confronte avec
49,29,confronte avec
49,89,confronte avec
52,53,confronte avec
53,52,confronte avec
54,56,confronte avec
54,62,confronte avec
54,63,confronte avec
54,64,confronte avec
54,64,confronte avec
54,471,confronte avec
55,471,confronte avec
56,54,confronte avec
56,87,confronte avec
56,88,confronte avec
57,104,confronte avec
58,103,confronte avec
59,905,confronte avec
62,54,confronte avec
63,54,confronte avec
63,64,confronte avec
63,73,confronte avec
63,103,confronte avec
63,471,confronte avec
64,54,confronte avec
64,54,confronte avec
64,63,confronte avec
64,471,confronte avec
65,25,confronte avec
65,621,confronte avec
66,75,confronte avec
67,28,confronte avec
67,48,confronte avec
67,71,confronte avec
67,72,confronte avec
69,16,confronte avec
69,85,confronte avec
69,904,confronte avec
73,30,confronte avec
73,63,confronte avec
73,103,confronte avec
73,544,confronte avec
75,66,confronte avec
79,82,confronte avec
79,83,confronte avec
79,98,confronte avec
80,84,confronte avec
83,84,confronte avec
84,80,confronte avec
85,69,confronte avec
87,88,confronte avec
88,48,confronte avec
88,87,confronte avec
93,727,confronte avec
96,13,confronte avec
