"id","nom","nomActuel","the_geom","length","type","detailLoc"
41,NULL,NULL,"01050000206A0800000100000001020000000200000083B6A192FCCA2941F9FBE2EC5E1A5841F3B877C755CB2941FF959F795B1A5841","46.6895311167928","Rue",NULL
1769,"rue vers notre dame des doms",NULL,NULL,NULL,"Rue",NULL
45,"Rue Albine",NULL,"01050000206A080000010000000102000000070000006F6398BC3CCB294118344E1A751A58415E23870F51CB2941F939DE70741A58415B9114B873CB294188F656E6761A5841A028F9DE78CB2941AA3620E5771A58413B6B9B1CA9CB2941AF2B9C4B7A1A58417EB9C697BFCB2941FB6782C37A1A5841ADE240E807CC29411CEDF2437B1A5841","105.394411589264","Rue",NULL
86,NULL,NULL,"01050000206A080000010000000102000000040000008B53B09860CA29413646166FD219584164E555F590CA294114FEB8E1D2195841944B8D017BCB2941ABC2DCDDD0195841115D322488CB2941403D492AD1195841","148.223658605749","Rue",NULL
34,"Rue de la Porte Aurose",NULL,"01050000206A080000010000000102000000070000000049012296CB2941535754EC951A58414D9F70589ECB2941A5C075F69A1A58419CB9701AB8CB2941282C1726A21A5841038BCBBAC1CB29415942C74CA61A5841A97D6DB1C4CB294178D1E1FBA81A58415D267599C5CB29410BAFB555AB1A5841DFE97BA9C6CB29412B4047BCB51A5841","130.91135461125","Rue",NULL
5,"Rue de la Petite Fusterie",NULL,"01050000206A080000010000000102000000030000003698869A68C829419E9FFF4C651A5841904ABAAB3DC829419053D8424F1A58411FC7298D25C82941865AA2743F1A5841","92210530258131","Rue",NULL
6,"Rue Lancerie",NULL,"01050000206A08000001000000010200000003000000C9ADB6384CC92941DA150ACA551A5841C8F3A00A54C92941A1549E804E1A5841697977F862C929416334FCBF431A5841","73.0611259854356","Rue",NULL
4,"Rue de la Porte Aiguière",NULL,"01050000206A08000001000000010200000008000000DAA5CD1318C92941F6B842A18D1A5841D1CDDDAB1CC929418EA4D903881A58418208D39B19C92941B999133B801A5841D3064F560CC92941B714AFD8751A584143F3A75B0DC92941BDFBA4F9721A5841E91C3C391FC92941E5FAE2566C1A5841BB2A87AA35C92941FD2FFCD7601A5841A1DEB9DE3EC92941E33D49E75E1A5841","184.838859290089","Rue",NULL
9,"Rue des Ortolans",NULL,"01050000206A0800000100000001020000000300000054B3075D7BC829416B363C5B081A58419A07FFCAF1C829415D03F7B5061A58419A07FFCAF1C829415D03F7B5061A5841","54.5673245709163","Rue",NULL
44,"Rue Four des Bertrands",NULL,"01050000206A08000001000000010200000003000000ABBC7BB177CB294144A0CD41871A5841F6843D8045CC2941A0CCEA59831A58414634FDB54BCC2941C4C2BAA8821A5841","107.501839269538","Rue",NULL
19,"Rue Vieille Triperie",NULL,"01050000206A08000001000000010200000006000000FCD02FAF76C92941B018B329291A5841F710E0C23CC929416B1965152C1A58416EECD74127C92941BA4ED7BF2D1A58419268B30B26C92941FC1D86C52E1A58416BD9C6350DC92941D8A1AAFB2F1A5841259052D4E2C82941E73BC3FB301A5841","78.2112260477905","Rue",NULL
1767,"carreria publica extra portale briensoni",NULL,NULL,NULL,"Rue","Rue à l'extérieur du portail Brianson id. 245"
