id1,localisationTN,id2
209,confronte a l est avec,212
209,confronte au sud avec,206
209,confronte au sud avec,212
209,confronte au sud avec,217
224,confronte a l est avec,206
224,confronte a l est avec,224
224,confronte au nord avec,206
224,confronte au nord avec,224
227,confronte au nord avec,210
227,confronte a l est avec,210
227,confronte au sud avec,217
227,confronte au sud avec,218
227,confronte a l ouest avec,217
227,confronte a l ouest avec,218
217,confronte au nord avec,209
217,confronte au nord avec,226
217,confronte au nord avec,227
217,confronte au sud avec,218
217,confronte au sud avec,615
217,confronte a l est avec,227
217,confronte a l est avec,218
217,confronte a l est avec,615
217,confronte a l ouest avec,226
217,confronte a l ouest avec,209
217,confronte a l ouest avec,212
212,confronte au nord avec,206
212,confronte au nord avec,209
212,confronte au nord avec,217
212,confronte au nord avec,211
212,confronte au nord avec,224
212,confronte a l est avec,211
212,confronte a l est avec,615
212,confronte a l est avec,217
212,confronte a l ouest avec,224
212,confronte a l ouest avec,206
214,confronte au nord avec,211
214,confronte au nord avec,213
214,confronte au nord avec,216
214,confronte a l est avec,216
214,confronte a l est avec,213
211,confronte au sud avec,214
211,confronte a l est avec,213
211,confronte a l est avec,615
211,confronte a l est avec,216
211,confronte a l ouest avec,212
211,confronte au nord avec,212
211,confronte au nord avec,615
218,confronte au nord avec,217
218,confronte au nord avec,227
218,confronte au sud avec,615
218,confronte au sud avec,215
218,confronte a l est avec,227
218,confronte a l est avec,215
218,confronte a l ouest avec,217
218,confronte a l ouest avec,615
615,confronte au nord avec,218
615,confronte a l est avec,218
615,confronte a l est avec,215
615,confronte au nord avec,217
615,confronte au nord avec,227
615,confronte au sud avec,213
615,confronte au sud avec,215
615,confronte au sud avec,216
215,confronte au nord avec,218
215,confronte a l ouest avec,218
215,confronte a l ouest avec,615
215,confronte a l ouest avec,213
215,confronte a l ouest avec,216
213,confronte au nord avec,615
213,confronte au nord avec,215
213,confronte a l est avec,216
213,confronte a l est avec,615
213,confronte a l est avec,215
216,confronte a l est avec,215
216,confronte au nord avec,215
216,confronte au nord avec,615
216,confronte au nord avec,213
216,confronte a l ouest avec,213
