idInvariant,Type,nom,the_geom
28,Rue,Rue du Portail Matheron,01050000206A080000020000000102000000030000007C03188E0ACD294163706EB14A1A58419564309105CD294144AC7B274D1A5841D99D87A53ECD2941C8AC5CAD511A5841010200000007000000D92EBF29FDCB2941576561FD431A5841E802D2193FCC29410F535147451A5841C6DDDE2484CC294137B9C0F3461A5841B341B3AFBECC29416031CC15491A584185ED1213D2CC29417C205CD7491A5841EB1CEB3602CD2941872A322C4A1A58417C03188E0ACD294163706EB14A1A5841
29,Rue,Rue Four de la Terre ou De Na Bressa,01050000206A080000010000000102000000090000008F3C14B2D2CC29416E2C129CF8195841AFD4376AE3CC29418CDB5643FC1958414B4D0808E4CC2941EA7251A7FF195841562D7204DCCC2941170C6EE70A1A5841562D7204DCCC2941ABE06188121A5841C90FB47BDECC2941F568A2D8151A58412AD75FA3D8CC2941386DDE5F1A1A5841EBBF92B6D8CC2941E0C70D441C1A584132445738D9CC2941F323AA69251A5841
30,Rue,Rue Cros de Caval,01050000206A08000001000000010200000007000000E26F91A75FCC29411F6898C8021A58418561B58877CC29417A939D490A1A58415FF77C11B5CC2941992EFD2B1A1A58414B7EA7BDBECC2941D41E99551B1A5841600E02FEC1CC2941F31BFCEE1B1A58417144FABFC0CC294150898939201A58410A1E3BF8BACC2941ABAB0980261A5841
31,Rue,Rue Moyenne Fusterie,01050000206A08000001000000010200000006000000FB8C115A68C72941300F9CDF731A5841D5607A5F7EC72941D8C2D7F8701A5841ACC18469C3C72941045C66516B1A5841C7F65906D8C729411B6D7AEF691A5841B09E1E2EFBC72941E0CDC968671A58416AC8071178C82941742EB800651A5841
32,Rue,Rue Trouillas,01050000206A08000001000000010200000009000000D8F2DBCDCACA29414738C5F5621A5841077FC64ACACA2941A7A4B61D641A58410F2E51C4E0CA294135A9E8AA6A1A584191ADF992F0CA29417F5019CE711A584198AF0FCB08CB29419ACDC01B7D1A58415C0A6EF71FCB2941E8E54C8C861A5841DBAD440728CB294162F032B88B1A58419736AC0844CB294113B8BC6F9B1A584117F6E6435ECB29417F9C3ED9A31A5841
33,Rue,Rue Malgrenier,01050000206A08000001000000010200000002000000CC0AA60C34CB2941E1124177921A58416841AAE98CCB294135E2F774901A5841
34,Rue,Rue de la Porte Aurose,01050000206A080000010000000102000000070000000049012296CB2941535754EC951A58414D9F70589ECB2941A5C075F69A1A58419CB9701AB8CB2941282C1726A21A5841038BCBBAC1CB29415942C74CA61A5841A97D6DB1C4CB294178D1E1FBA81A58415D267599C5CB29410BAFB555AB1A5841DFE97BA9C6CB29412B4047BCB51A5841
35,Rue,Rue PolasserieB ou devant Saint-Symphorien,01050000206A08000001000000010200000006000000FFFB5C73F1CA29413A04B150591A584164094C92F0CA2941EF16063D5B1A58416D78694C13CB294198C56AEE671A5841F1A299B729CB294125023F09701A58419638421A39CB2941776ADC6D731A58415E39637441CB2941E18F8646771A5841
36,Rue,Rue de l'Hopital petit,01050000206A08000001000000010200000007000000E6BB44A441CB29418DCB4556771A584109F09A8E4CCB294157EE31937B1A584165A8AD8964CB2941C6F1A38E801A5841A29662A170CB29411E56BC66821A584130424B5679CB2941104C1C63881A58412302391290CB2941B98448C2911A58410049012296CB2941535754EC951A5841
37,Rue,Rue Grolerie,01050000206A0800000100000001020000000500000008D842DEF1CA2941E0EB7014591A5841784F9C25EBCA2941FCD9DBFF561A5841573E4FB4DDCA294190F35EF5511A58414DC04B86D6CA2941608985134D1A5841A0CC5F06D6CA29419617CA034C1A5841
38,Rue,NULL,01050000206A08000001000000010200000009000000F157C194FCCA2941D68DC83A601A5841F6C22133D3CA29413FD35CB8621A5841E76003CAC5CA2941D9A2731A631A58419E3561DDB1CA2941664CCD88631A5841F1E7473DA0CA294159261095631A5841A8A5DF5996CA2941CD4B701D631A58416105774273CA2941F2B8542A621A584106D52F4069CA294115CEB197611A584195E5D0CE39CA2941F7C29B6D581A5841
39,Rue,Rue au marche au fil,01050000206A0800000100000001020000000300000070EEB04389CA294193B8B36A501A58419020EAA88ECA294110410D8B531A5841D8F2DBCDCACA29414738C5F5621A5841
40,Rue,Rue Saint Catherine,01050000206A0800000100000001020000000C0000000CAF78AA13CB2941BE94B7A2651A5841ACD3403C3FCB29411EBA9224651A5841A9AFDCFF59CB2941D1FBBCFC641A5841B4BCBE0397CB294110F3FB6E6A1A5841CD8A6990CDCB2941083D6C36731A5841DFE7ADBFF3CB29416F62CA3D781A584188C7393AFBCB2941338CCCF5791A58416EB1157F17CC29417411C5DE7C1A5841AF08DD4F1FCC2941E744BA837D1A58418061003F3CCC29419100D82C801A58414634FDB54BCC2941C4C2BAA8821A5841AF7B1BB26CCC294182F6FFDD831A5841
41,Rue,NULL,01050000206A0800000100000001020000000200000083B6A192FCCA2941F9FBE2EC5E1A5841F3B877C755CB2941FF959F795B1A5841
42,Rue,Rue Sainte-Croix,01050000206A080000010000000102000000070000001417ED73A5CB294131EB0577591A58415169B94AA7CB294125A58F94581A5841165346DEBCCB2941F2DA8C76561A5841838669E800CC29415E32AA46521A5841B601CE2960CC29410E9F46384E1A58410DE7875C73CC2941CD044B294D1A584185ED1213D2CC29417C205CD7491A5841
43,Rue,Rue Vieneuve,01050000206A0800000100000001020000000B00000068473A41A5CB29419215EDE39C1A58413D94C4F8E3CB2941E8BD057C9A1A58416836A6631ACC2941A76341669A1A5841912277781ECC2941733C3C4C951A5841C33B73663CCC294161BE5E388D1A5841DFDE064A58CC2941088520C18A1A5841AF7B1BB26CCC294182F6FFDD831A58416AA2C70F7FCC294182F6FFDD831A58410981E8B48ECC2941AD69D5887B1A5841632BAD8C97CC29412372A34E741A5841B85A4BE286CC2941C7813071731A5841
44,Rue,Rue Four des Bertrands,01050000206A08000001000000010200000003000000ABBC7BB177CB294144A0CD41871A5841F6843D8045CC2941A0CCEA59831A58414634FDB54BCC2941C4C2BAA8821A5841
45,Rue,Rue Albine,01050000206A080000010000000102000000070000006F6398BC3CCB294118344E1A751A58415E23870F51CB2941F939DE70741A58415B9114B873CB294188F656E6761A5841A028F9DE78CB2941AA3620E5771A58413B6B9B1CA9CB2941AF2B9C4B7A1A58417EB9C697BFCB2941FB6782C37A1A5841ADE240E807CC29411CEDF2437B1A5841
46,Rue,,01050000206A0800000100000001020000000A000000B85A4BE286CC2941C7813071731A5841B036BEA188CC2941F6AD38446F1A58413B31DDB58ACC2941BA61862C6A1A5841B036BEA188CC2941E087A564651A5841C536CE1775CC2941B6FF57A0631A584178F561F566CC29414AFABC605E1A5841AB6206D929CC29418F77CC6A5F1A5841D2314DF001CC29411410FB635D1A5841016346B1DBCB294125A348715D1A5841B421DA8ECDCB294113DFE31D5A1A5841
47,Rue,Rue de la Fromagie,01050000206A0800000100000001020000000300000057DDD115F2CA2941159CD7E93C1A5841870203970DCB2941DC597222481A5841CC7A5A3C17CB2941A2CCAF5F4A1A5841
48,Rue,Rue allant de la Pignotte au Portail Matheron,01050000206A08000001000000010200000004000000D99D87A53ECD2941C8AC5CAD511A5841B055A53F4BCD2941BE4CDB23461A58411D8378BC46CD2941FDA3854B3A1A584193E11A8840CD2941987F8CDB271A5841
49,Rue,Rue Saint Jean le Vieux ?,01050000206A08000001000000010200000007000000390C458D9FCB29410F87B7B5381A5841EFCFD9C9C2CB2941970CF445361A584148DE6985F0CB2941B27C536E321A5841AC6FAF4021CC2941FE44AEC62E1A5841BCCEA57A5FCC294119B50DEF2A1A58415BE55AF2B4CC2941D37476B7261A584132445738D9CC2941F323AA69251A5841
50,Rue,Rue Saint Jean,01050000206A08000001000000010200000004000000CF0E4A2CA4CB2941D1C803B3401A584100B297B19ECB29416D046F3D3C1A5841B42668358BCB294156047AE9361A58414AF3E86B7ECB294134848AEB2E1A5841
51,Rue,Rue Ferraterie,01050000206A08000001000000010200000002000000AA1346567AC92941D875FD90381A5841CD8B283AF2C92941895C47E7391A5841
52,Rue,Rue Grande Meuse,01050000206A08000001000000010200000007000000E020B9D9E5CB2941233F03AA0A1A5841166BD345D8CB29414EE1D6EA041A5841076DA136DDCB29412134FDDA041A5841F86428D4DBCB294175CD08F6001A5841E0D872C0D9CB29419AC7C894FE195841E1A06E1907CC29414E39DA7FFD195841F90C799803CC29411EAF5236F5195841
53,Rue,Rue Sainte Claire,01050000206A0800000100000001020000000B0000009A29A4B232CB29412E8EE7E4FB195841767EB9454CCB2941B7E50F13FB195841AECE084674CB2941877A54AEF9195841E51E58469CCB2941DD43B1CBF71958414845B67EA9CB2941F8C4EFA7F6195841ABCC5014AFCB2941344F2D00F61958413FA5A18BCACB294190651264F41958417BBEB22EDECB2941FF6FA88FF3195841A69A1338E6CB2941809865B4F31958418107D714EFCB2941130D5856F4195841F90C799803CC29411EAF5236F5195841
54,Rue,Rue Vieille Pelleterie,01050000206A080000010000000102000000060000002E428100AECA2941D75000FE1F1A5841AB6AFF49A4CA29413AF4BD801C1A584164A2E3AB99CA29414DF4B0F6181A58417AEA06A372CA294130A00CD80F1A58415DCD25B264CA294153AEA3C70C1A58413751A41B52CA29417874B870021A5841
55,Rue,Rue Pelleterie Neuve,01050000206A08000001000000010200000004000000413FC9A921CA294153B3A94F271A5841F077F2FA44CA29419D63C6EA251A5841479011DC4DCA2941588C6D24241A5841729C5F96ADCA2941336BA204201A5841
56,Rue,Rue Courraterie,01050000206A0800000100000001020000000F0000002E428100AECA2941D75000FE1F1A5841F34683FD23CB29417E7A3A101A1A5841EBF22DF267CB29419D08C4D7141A58417481213A78CB294196080840131A5841D2112512E8CB29416B087E7D0A1A58415167BA90F0CB294180CF0F13091A58415D69EE465BCC29410F7A035E031A58413B1429E565CC2941244195F3011A5841688755CEAECC2941D2B2C5D1FC195841D0C083B4C9CC29415596D284FA1958414F161933D2CC294130CFC8BFF8195841CE6BAEB1DACC294124CF2E5CF6195841B50F098CEFCC29412AFD783FF2195841183A70BE10CD29417753A19BEE195841B2556AE813CD2941E44CC7DAED195841
57,Rue,Rue du Cardinal de Nimes,01050000206A080000010000000102000000040000004CD1D1BA1DCB294113FC9E5E1A1A584184E67E780ECB2941BB78C042121A584141BF95BE0CCB29415EE190010F1A5841BD41ABE304CB29412A13551C011A5841
58,Rue,Rue de la Livree de Pampelune,01050000206A080000010000000102000000040000001A8719AEA4CB2941B374B8C40F1A58412A3307979CCB294180BBD7090F1A584195A6130D88CB294179647B1D031A58416023E6207ACB29414AD1AF67F9195841
59,Rue,Grande-Rue,01050000206A0800000100000001020000000700000037B985E854CA29413EC054CFD7195841399BED8B5CCA294148AAF766DD195841866365BB6ACA294100970350E21958415F8EF5D15FCA29414275D8E7EA19584137B985E854CA2941F6DDC6D6F0195841C6EEB94447CA2941FC434C74F7195841C6EEB94447CA2941FC434C74F7195841
60,Rue,Rue des Laboureurs,01050000206A0800000100000001020000000B000000F62714D25DCA2941EC9FDDD7DD195841BE7DDB1929CA2941DF578A10DD195841BA4FF3FB14CA2941348992D7DC1958414C2BFB20FDC929414C4E9ACDE0195841EA3E0DF3EBC92941E049384AE719584181F89AE1EAC92941181D8F7EEA1958410370FC93F0C92941BA3658C4EE1958419F2DBC18F8C92941E8DE9FB9F0195841B8E16F2D03CA294147120DD5F3195841A815CFA50ACA2941A36CDABFF619584168D107A513CA2941E1529B13F7195841
62,Rue,Rue Principale,01050000206A080000010000000102000000060000005DCD25B264CA294153AEA3C70C1A58419EBE919A53CA2941C242C303141A58410E1080A73CCA2941F9684D33191A58418FDF7C1930CA2941F81D42561C1A58413842741A21CA2941F3F42CB9201A58413B9FF64D1CCA29416B962079211A5841
63,Rue,Rue Frenerie,01050000206A08000001000000010200000004000000AF2253A8BACA29414DF330D3291A5841C7C816732BCB2941E2DE0509281A5841C5F65495C5CB294188EDBD30231A58413EDE14B2CDCB294137EE0DF7221A5841
64,Rue,Rue Sabaterie,01050000206A08000001000000010200000002000000AF2253A8BACA29414DF330D3291A5841F1B5D618AECA2941B65C7D05201A5841
65,Rue,Rue Brocarie,01050000206A08000001000000010200000003000000B432555D2ACA294150FB56F9411A5841BD639D9646CA2941904A5D11401A584176ABF5AB7DCA2941A3AD04143E1A5841
66,Rue,Rue du change,01050000206A080000010000000102000000040000001BADBEFF8BC9294187B8A63C301A58418FA1D2279CC9294105BAF6262E1A58415F8E0CFFB6C9294182BB46112C1A58417F713E63DFC9294111BC24492B1A5841
67,Rue,Rue Carreterie,01050000206A08000001000000010200000008000000D99D87A53ECD2941C8AC5CAD511A58417A0B45F29ACE2941337B06A46F1A58418C7B211222CF2941E94B732F7C1A58417DFB1015E8CF2941424D3D59881A58410737A8BE59D0294135FCA17C8A1A5841A097055976D0294101D6319C8A1A5841542425C62FD12941961A986E851A58415031743658D1294115633BB8821A5841
68,Rue,Rue de la Draperie,01050000206A080000010000000102000000070000000B15B8F529CA2941D85D39ED411A5841E037CC7E02CA29417F05309C3C1A58412036224CF4C92941173A555F3A1A5841E040FD35F1C92941FFAB03E8381A5841233C361EEDC9294115FCFE24351A584163CC0E5BD0C92941D3F875F8341A5841824E58E6BBC9294198F1FAF82B1A5841
69,Rue,Rue du Portail Boquier,01050000206A0800000100000001020000000400000055753DF330C929412A03099AE41958412C2FB42D2DC9294104CD781EE1195841795D65822DC929418C6F3E95DD195841BAF153D824C9294148B88CEFD2195841
70,Rue,Rue allant vers l'hopital Bernard rascas,01050000206A08000001000000010200000006000000E7B308C893CE294131A9A9254C1A584147D78A0786CF2941072B40B34C1A5841289E58310FD02941929561E14F1A5841B989E86AA3D029416B2D0612571A58419E59E66209D1294132B165735A1A58419275085390D1294181098F4F5E1A5841
71,Rue,Rue des Infirmieres,01050000206A0800000100000001020000000B000000BF409C3332CD29417D26B2E27F1A58415A0A9C9D8DCD2941F6C3D2FE7F1A58415DA45B0439CE294195609B88811A58414A1DB48B76CE294195609B88811A58418E3E6004C3CE29414612B7C3801A5841AAB7FD24DFCE2941A3255A50811A584106594CEA1ACF2941CA2402BE821A5841755F824A52CF2941B90FAF0C851A584100DF55CBA5CF29419A359D93871A58417DFB1015E8CF2941424D3D59881A58417DFB1015E8CF2941424D3D59881A5841
72,Rue,Rue des Augustins,01050000206A080000010000000102000000040000008A4FD63292CE2941CC5132204C1A584111A65DADDECD2941B46B8D3B4B1A584191AF0CEF5BCD29411D480E514D1A5841D99D87A53ECD2941C8AC5CAD511A5841
73,Rue,Rue du Plan du Saule,01050000206A080000010000000102000000030000003EDE14B2CDCB294137EE0DF7221A5841807B7D6285CC29416418BB881D1A58414B7EA7BDBECC2941D41E99551B1A5841
74,Rue,Plan de Lunel,01050000206A08000001000000010200000003000000B0DB7C966FC82941AA248D961C1A58411BC2DEB46CC82941ECE43E661A1A58419767683789C8294189FC889F191A5841
75,Rue,Place des Changes,01050000206A080000010000000102000000030000007F713E63DFC9294111BC24492B1A58415C1CAD89EDC92941E1FB69D42A1A5841CF4324D0F6C929417013282E291A5841
76,Rue,Place de l'eglise Notre-Dame La Principale,01050000206A08000001000000010200000004000000393648C32ECA2941869A83FE201A5841216B387F49CA294135CD7162201A58419CB88D382ECA294171923968201A5841BEE8F2094ACA29418E4B928C1F1A5841
77,Rue,Place de l'eglise Sainte-Catherine,01050000206A080000010000000102000000040000001E383E3A9FCB2941B8B8D5966C1A5841157490F6A5CB29412E3CB3AB6B1A58417297A20595CB2941DDC889226B1A58413909F7929CCB29416AB6975E6A1A5841
78,Rue,Place du Limas,01050000206A08000001000000010200000003000000E998026641C72941CC8B3C0A5F1A5841B6E0AC6492C72941296B897E5D1A5841778C8D609FC72941AA8C2E435D1A5841
79,Rue,Place du Portail Brianson,01050000206A080000010000000102000000040000007CCCC58AA5C72941DFBC2680141A584134F6D194B1C729412A9B8675121A5841531AA6C6B0C72941BBB4F02C111A5841B84093D5AEC72941ADFBBB8A101A5841
80,Rue,Place du Portail Boquier,01050000206A08000001000000010200000003000000324A4ABBFBC8294166970124D41958416A3B653303C929418977C5C4D31958413094B0660FC92941132DA231D3195841
81,Rue,Place du puit des boeufs,01050000206A08000001000000010200000004000000A1DEB9DE3EC92941E33D49E75E1A5841FCBCC7CE52C929412007E6165F1A5841827CC33347C929413AE8F6E35B1A5841BC46576D50C929413AE8F6E35B1A5841
