idBien;idIndividu;ordreSuccession;date1reconnaissanceMin;date2reconnaissanceMax;sureteDate
BD_154;143;1;1366;1368;S
BD_155;144;1;1366;1368;S
BD_156;144;1;1366;1368;S
BD_157;145;1;1366;1368;S
BD_158;146;1;1366;1368;S
BD_159;147;1;1366;1368;S
BD_160;148;1;1366;1368;S
BD_161;149;1;1366;1368;S
BD_162;91;1;1366;1368;S
BD_163;150;1;1366;1368;S
BD_164;151;1;1366;1368;S
BD_165;152;1;1366;1368;S
BD_166;153;1;1366;1368;S
BD_167;148;1;1366;1368;S
BD_168;154;1;1366;1368;S
BD_169;155;1;1366;1368;S
BD_170;155;1;1366;1368;S
BD_171;152;1;1366;1368;S
BD_172;156;1;1366;1368;S
BD_173;154;1;1366;1368;S
BD_174;158;1;1366;1368;S
BD_174;157;1;1366;1368;S
BD_175;159;1;1366;1368;S
BD_176;160;1;1366;1368;S
BD_177;160;1;1366;1368;S
BD_178;32;1;1366;1368;S
BD_179;161;1;1366;1368;S
BD_180;162;1;1366;1368;S
BD_181;163;1;1366;1368;S
BD_182;59;1;1366;1368;S
BD_182;60;1;1366;1368;S
BD_183;164;1;1366;1368;S
BD_184;153;1;1366;1368;S
BD_185;165;1;1366;1368;S
BD_186;165;1;1366;1368;S
BD_187;91;1;1366;1368;S
BD_188;152;1;1366;1368;S
BD_189;75;1;1366;1368;S
BD_189;75;1;1366;1368;S
BD_189;75;1;1366;1368;S
BD_190;166;1;1366;1368;S
BD_190;167;1;1366;1368;S
BD_191;143;1;1366;1368;S
BD_192;98;1;1366;1368;S
BD_193;98;1;1366;1368;S
BD_194;168;1;1366;1368;S
BD_195;169;1;1366;1368;S
BD_196;170;1;1366;1368;S
BD_197;171;1;1366;1368;S
BD_198;75;1;1366;1368;S
BD_199;172;1;1366;1368;S
BD_200;173;1;1366;1368;S
BD_201;174;1;1366;1368;S
BD_202;175;1;1366;1368;S
BD_203;168;1;1366;1368;S
BD_204;176;1;1366;1368;S
BD_205;162;1;1366;1368;S
BD_206;177;1;1366;1368;S
BD_206;178;1;1366;1368;S
BD_206;179;1;1366;1368;S
BD_207;181;1;1366;1368;S
BD_207;180;1;1366;1368;S
BD_207;182;1;1366;1368;S
BD_208;91;1;1366;1368;S
BD_209;183;1;1366;1368;S
BD_210;226;1;1366;1368;S
BD_210;184;1;1366;1368;S
BD_210;148;1;1366;1368;S
BD_211;75;1;1366;1368;S
BD_212;185;1;1366;1368;S
BD_213;186;1;1366;1368;S
BD_214;188;1;1366;1368;S
BD_214;187;1;1366;1368;S
BD_215;189;1;1366;1368;S
BD_216;32;1;1366;1368;S
BD_217;190;1;1366;1368;S
BD_218;5;1;1366;1368;S
BD_218;4;1;1366;1368;S
BD_219;112;1;1366;1368;S
BD_220;191;1;1366;1368;S
BD_221;191;1;1366;1368;S
BD_222;191;1;1366;1368;S
BD_223;192;1;1366;1368;S
BD_224;193;1;1366;1368;S
BD_225;84;1;1366;1368;S
BD_226;194;1;1366;1368;S
BD_227;195;1;1366;1368;S
BD_228;196;1;1366;1368;S
BD_229;197;1;1366;1368;S
BD_230;196;1;1366;1368;S
BD_231;198;1;1366;1368;S
BD_232;113;1;1366;1368;S
BD_233;199;1;1366;1368;S
BD_234;403;1;1366;1368;S
BD_235;200;1;1366;1368;S
BD_236;201;1;1366;1368;S
BD_236;202;1;1366;1368;S
BD_237;203;1;1366;1368;S
BD_238;204;1;1366;1368;S
BD_239;403;1;1366;1368;S
BD_240;403;1;1366;1368;S
BD_241;119;1;1366;1368;S
BD_242;205;1;1366;1368;S
BD_243;206;1;1366;1368;S
BD_244;84;1;1366;1368;S
BD_245;207;1;1366;1368;S
BD_246;208;1;1366;1368;S
BD_247;209;1;1366;1368;S
BD_248;1079;1;1366;1368;S
BD_249;4;1;1366;1368;S
BD_249;5;1;1366;1368;S
BD_250;32;1;1366;1368;S
BD_251;211;1;1366;1368;S
BD_252;212;1;1366;1368;S
BD_252;213;1;1366;1368;S
BD_253;4;1;1366;1368;S
BD_253;5;1;1366;1368;S
BD_254;403;1;1366;1368;S
BD_254;214;1;1366;1368;S
BD_255;199;1;1366;1368;S
BD_255;215;1;1366;1368;S
BD_256;216;1;1366;1368;S
BD_257;217;1;1366;1368;S
BD_443;26;1;1366;1368;S
BD_444;684;1;1366;1368;S
BD_445;154;1;1366;1368;S
BD_445;351;1;1366;1368;S
BD_446;114;1;1366;1368;S
BD_447;136;1;1366;1368;S
BD_448;262;1;1366;1368;S
BD_449;353;1;1366;1368;S
BD_450;685;1;1366;1368;S
BD_451;153;1;1366;1368;S
BD_452;153;1;1366;1368;S
BD_453;260;1;1366;1368;S
BD_454;356;1;1366;1368;S
BD_455;357;1;1366;1368;S
BD_456;355;1;1366;1368;S
BD_457;59;1;1366;1368;S
BD_457;60;1;1366;1368;S
BD_458;358;1;1366;1368;S
BD_459;358;1;1366;1368;S
BD_460;161;1;1366;1368;S
BD_461;359;1;1366;1368;S
BD_462;360;1;1366;1368;S
BD_463;360;1;1366;1368;S
BD_464;361;1;1366;1368;S
BD_465;362;1;1366;1368;S
BD_466;363;1;1366;1368;S
BD_467;364;1;1366;1368;S
BD_468;365;1;1366;1368;S
BD_469;366;1;1366;1368;S
