id,id_ajout,length,xcoord,ycoord
17,17_1,97.2446096907256,844986.45116078,6318088.71924455
17,17_2,75.5844277180559,844958.69018372,6318007.66815574
1,1_1,132.394300598041,844857.588646065,6318673.66492679
1,1_2,119.863877899882,844795.069691907,6318564.31655511
2,2_1,100.298818287919,844884.24660942,6318633.20236325
2,2_2,114.840296696365,844822.683451512,6318545.32661093
4,4_1,100.314382430668,844939.444065519,6318596.62394433
4,4_2,91.3582983983466,844945.788850916,6318502.89041292
8,8_2,149.236985396094,844858.894329933,6318063.19199196
8,8_1,162.289435033054,844875.553346734,6318217.30526709
10,10_2,89.4329563983783,844919.00429517,6318151.06256873
10,10_1,81.8135538388887,844910.10431071,6318235.65763033
26,26_1,88.4498026839959,845034.598731335,6318291.8994249
26,26_2,85.9323045579509,845121.327239042,6318296.86441812
28,28_1,99.0234300773371,845359.260417302,6318360.80899475
28,28_2,82.8689546572766,845441.040548616,6318385.61865644
29,29_1,88.9005284657892,845421.286950019,6318185.30791044
29,29_2,93.007964165184,845423.456796631,6318094.84238132
32,32_1,118.019253272641,845213.878711613,6318679.14605643
32,32_2,148.018595600058,845180.126255614,6318550.64892676
40,40_1,127.513254536693,845249.109430716,6318506.017315
40,40_2,95.9416746886568,845328.008237173,6318581.16691718
43,43_1,133.208953774864,845317.631822143,6318680.16528941
43,43_2,111.065056886394,845375.876590245,6318588.19550404
49,49_1,102.724827917869,845307.76391364,6318280.41345593
49,49_2,72.8927463566714,845386.2167058,6318241.57513005
56,56_1,186.845633481232,845226.441073849,6318166.78330233
56,56_2,190.308096569032,845384.390632302,6318068.70467662
70,70_1,233.767854593678,845758.104316065,6318391.88055632
70,70_2,164.861571961417,845950.262448732,6318439.03395496
72,72_1,88.6753440187277,845508.377675219,6318388.40878944
72,72_2,89.8317538826439,845596.218948209,6318382.71678895
82,82_1,182.335697226604,844794.216866941,6318402.14046833
82,82_2,163.290205002058,844759.333935914,6318233.26215698
111,111_1,155.182644010013,844527.944147785,6318075.5523093
111,111_2,147.199054939818,844672.207516596,6318120.14004731
110,110_1,146.462019479004,844445.442463153,6317971.13537647
110,110_2,157.466048604326,844453.673175729,6317819.40698914
467,467_1,151.389959886423,845777.864131657,6318270.35156315
