identifiant;categorie;typeT;nbComposant1;composant1;nbComposant2;composant2;composant3;composant4;composant5;composant6;qualifEnsemble;detailEnsemble;mesure;materiaux;montantN;espece;montant;detailRedev;montant2
BD_1;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol.;tournois;2 sol. bon. tur. parv.;null;null
BD_2;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol.;tournois;3 sol. bon. tur. parv.;null;null
BD_3;biendeclare;atelier;1;atelier; null; null; null; null;null;null;null;null;8 bonos passus hominis environ de profundo ad intra versus parietem interiorem;null;17 den. 1 pict.;tournois;17 den. et 1 pict. bon. tur. parv.;null;null
BD_4;biendeclare;maison3 avec atelier;1;maison; null;atelier; null; null;null;null;null;null;9 bonos passus hominis de profundo ad intra versus parietem interiorem citra;null;6 sol. 3 den. 1 ob. 1 pict.;tournois;6 sol. 3 den. et ob. et 1 pict. bon. tur. parv.;null;null
BD_5;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;8 bonos passus hominis environ de profundo ad intra versus parietem interiorem;null;4 sol. 11 den.;tournois;4 sol. 11 den. bon. tur. parv.;null;null
BD_6;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;10 sol.;tournois;18 den. bon. tur. parv.;affranchi de la vigne episcopale;10 sol. bon. tur.
BD_7;biendeclare;2 ateliers;2;atelier; null; null; null; null;null;null;null;null;null;null;2 sol. 1 ob.;tournois;2 sol. 1 ob. bon. tur. parv.;null;null
BD_8;biendeclare;atelier;1;atelier; null; null; null; null;null;null;magnum;null;null;null;3 sol.;tournois;3 sol. bon. tur. parv.;null;null
BD_9;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_10;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_11;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. bon. tur. parv.;null;null
BD_12;biendeclare;maison3 avec cave;1;maison; null;cave; null; null;null;null;null;null;null;null;20 sol.;tournois;20 den. bon. tur. parv.;affranchi de la vigne episcopale;20 sol. bon. tur. parv.
BD_13;biendeclare;2 maison3 contigues;2;maison; null; null; null; null;null;null;parva;null;null;null;2 sol.;tournois;2 sol. bon. tur. parv.;null;null
BD_14;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;9 den.;tournois;9 den. bon. tur. parv.;null;null
BD_15;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;10 den.;tournois;10 den. bon. tur. parv.;null;null
BD_16;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_17;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;19 den.;tournois;19 den. bon. tur. parv.;null;null
BD_18;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol. 8 den.;tournois;3 sol. 8 den. bon. tur. parv.;null;null
BD_19;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;11 sol.;tournois;12 den. bon. tur. parv.;affranchi de la vigne episcopale;11 sol. bon. tur. parv.
BD_20;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;5 sol.;tournois;6 den. bon. tur. parv.;affranchi de la vigne episcopale;5 sol. bon. tur. parv.
BD_21;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol.;tournois;12 den. bon. tur. parv.;affranchi de la vigne episcopale;2 sol. bon. tur. parv.
BD_22;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. bon. tur. parv.;null;null
BD_23;biendeclare;2 maisons3 contigues et unies et reduites en une seule maison;2;maison; null; null; null; null;null;null;null;null;null;null;20 sol. 6 den.;tournois;3 sol. bon. tur. parv.;affranchi de la vigne episcopale;20 sol. et 6 den. bon. tur. parv.
BD_24;biendeclare;2 maisons3 contigues et attenantes;2;maison; null; null; null; null;null;null;null;null;null;null;4 sol.;tournois;2 sol. bon. tur. parv.;affranchi de la vigne episcopale;4 sol. bon. tur. parv.
BD_25;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_26;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. bon. tur. parv.;null;null
BD_27;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_28;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol.;tournois;3 sol. bon. tur. parv.;null;null
BD_29;biendeclare;maison3;1;maison; null; null; null; null;null;null;pulcrum;null;null;null;3 sol.;tournois;3 sol. bon. tur. parv.;null;null
BD_30;biendeclare;maison3;1;maison; null; null; null; null;null;null;pulcrum;null;null;null;3 sol.;tournois;3 sol. bon. tur. parv.;null;null
BD_31;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol.;tournois;3 sol. bon. tur. parv.;null;null
BD_32;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_33;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_34;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_35;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_36;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_37;biendeclare;ateliers;1;atelier; null; null; null; null;null;null;null;null;null;null;3 sol. 9 den.;tournois;3 sol. 9 den. bon. tur. parv.;null;null
