identifiant;categorie;typeT;nbComposant1;composant1;nbComposant2;composant2;composant3;composant4;composant5;composant6;qualifEnsemble;detailEnsemble;mesure;materiaux;montantN;espece;montant;detailRedev;montant2
BD_38;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;10 sol.;tournois;6 den. et 1 ob. bon. tur. parv.;affranchi de la vigne episcopale;10 sol. bon. tur. parv.
BD_39;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;16 den. 1 ob.;tournois;16 den. et 1 ob. tur. parv.;null;null
BD_40;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. bon. tur. parv.;null;null
BD_41;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. bon. tur. parv.;null;null
BD_42;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_43;biendeclare;atelier;1;atelier; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_44;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_45;biendeclare;maison3;1;maison; null; null; null; null;null;null;magnum et pulcrum;null;null;null;2 sol 13 den.;tournois;2 sol 13 den. bon. tur. parv.;null;null
BD_46;biendeclare;maison3 dans laquelle il y a un four de paticier;1;maison; null;four; null; null;null;null;magnum;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_47;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;9 den.;tournois;9 den. bon. tur. parv.;null;null
BD_48;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;9 den.;tournois;9 den. bon. tur. parv.;null;null
BD_49;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_50;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_51;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_52;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_53;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_54;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. bon. tur. parv.;null;null
BD_55;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_56;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo seigneur nicolaus de capucia, cardinal urgellensis, fecit stabulam et feneriam ou palriam et latrines communes;null;null;1 pict.;tournois;1 bon. pict. tur. parv.;null;null
BD_57;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 pict.;tournois;1 bon. pict. tur. parv.;null;null
BD_58;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;novus de quadris;1 den.;tournois;1 bon. den. tur. parv.;null;null
BD_59;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 ob.;tournois;1 ob. tur. parv.;null;null
BD_60;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 pict.;tournois;1 bon. pict. tur. parv.;null;null
BD_61;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 pict.;tournois;1 bon. pict. tur. parv.;null;null
BD_62;biendeclare;2 maisons3 contigues et attenantes;2;maison; null; null; null; null;null;null;null;null;null;null;12 den. 1 ob.;tournois;12 den. et ob. tur. parv.;null;null
BD_63;biendeclare;part de maison3 en indivision;1;part de maison; null; null; null; null;null;null;null;null;null;null;3 sol. 1 pict.;tournois;3 sol. 1 pict. bon. tur. parv.;null;null
BD_64;biendeclare;part de maison3 en indivision;1;part de maison; null; null; null; null;null;null;null;in quo inhabitat;null;null;4 sol.;tournois;12 den. et 1 pict. bon. tur. parv.;affranchi de la vigne episcopale;4 sol. bon. tur. parv.
BD_65;biendeclare;part de maison3 en indivision;1;part de maison; null; null; null; null;null;null;null;null;null;null;4 sol. 6 den.;tournois;6 den. bon. tur. parv. 4 sol. bon. tur. parv.;affranchi de la vigne episcopale;4 sol. 6 den. bon. tur. parv.
BD_66;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 sol.;tournois;20 sol. bon. tur. parv.;null;null
BD_67;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 sol.;tournois;20 sol. bon. tur. parv.;null;null
BD_68;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 sol.;tournois;20 sol. bon. tur. parv.;null;null
BD_69;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 sol.;tournois;20 sol. bon. tur. parv.;null;null
BD_70;biendeclare;2 parties de maison3 avec puit;2;part de maison; null;puit; null; null;null;null;magnum et profundu;null;null;null;20 sol.;tournois;13 den. et 2 partes 1 ob. bon. tur. parv.;affranchi de la vigne episcopale;20 sol. bon. tur. parv.
BD_71;biendeclare;3 parts de maison3;3;part de maison; null; null; null; null;null;null;null;null;null;null;6 den. 1,75 ob.;tournois;6 den. et 1 ob. et tertia pars alter ob. bon. tur. parv.;null;null
BD_72;biendeclare;maison3;1;maison; null; null; null; null;null;null;parvum;null;null;null;3,75 den.;tournois;3 den. et tertia partes 1 den. bon. tur. parv.;null;null
BD_73;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;8 sol.;tournois;6 den. et 2 partes 1 den. bon. tur. parv.;affranchi de la vigne episcopale;8 sol. bon. tur. parv.
BD_74;biendeclare;2 maisons3 contigues et unies et reduites en une seule maison;2;maison; null; null; null; null;null;null;null;null;null;null;10 den. 1 ob.;tournois;10 den. et 1 ob. bon. tur. parv.;null;null
BD_75;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. bon. tur. parv.;null;null
BD_76;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 sol.;tournois;10 tur. gross. singulos pro 2 sol. et 4 den. monete hodie in avinione;affranchi de la vigne episcopale;20 sol. bon. tur. parv.
BD_77;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol.;tournois;2 sol. bon. tur. parv.;null;null
BD_78;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol.;tournois;2 sol. bon. tur. parv.;null;null
BD_79;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. bon. tur. parv.;null;null
BD_80;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. bon. tur. parv.;null;null
BD_81;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. bon. tur. parv.;null;null
BD_82;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;5 sol.;tournois;5 sol. bon. tur. parv.;null;null
BD_83;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 alauda et 12 sophia et 1 pict.;poisson et tournois;1 alauda et 12 sophia et 1 pict. bon. tur. parv.;null;null
BD_84;biendeclare;maison3 dans laquelle il y a un four;1;maison; null;four; null; null;null;null;null;null;null;null;1 alauda et 12 sophia et 1 ob.;poisson et tournois;1 alauda et 12 sophia et 1 ob. tur. parv.;null;null
BD_85;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 alauda et 24 sophia et 1 den.;poisson et tournois;2 alauda et 24 sophia et 1 den. bon. tur. parv.;null;null
BD_86;biendeclare;2 maisons3 contigues et unies et reduites en une seule maison avec puit;2;maison; null;puit; null; null;null;null;null;null;null;null;2 alauda et 24 sophia et l den.;poisson et tournois;2 alauda et 24 sophia et l den. bon. tur. parv.;null;null
BD_87;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 alauda et 12 sophia et 1 ob.;poisson et tournois;1 alauda et 12 sophia et 1 ob. bon. tur. parv.;null;null
BD_88;biendeclare;2 maisons3 contigues et unies et reduites en une seule maison;2;maison; null; null; null; null;null;null;null;null;null;null;7 sol. 6 den.;tournois;2 alauda et 24 sophia bona et sufficiens et 1 den. bon. tur. parv.;affranchi de la vigne episcopale;7 sol. et 6 den. bon. tur. parv.
BD_89;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 alauda et 12 sophia et 1 ob.;poisson et tournois;1 alauda et 12 sophia et 1 ob. tur. parv.;null;null
BD_90;biendeclare;maison3 avec puit et place;1;maison; null;puit;place; null;null;null;magnum et longo;null;null;null;3 alauda et 36 sophia et 1 ob.;poisson et tournois;3 alauda et 36 sophia et 1 ob. tur. parv.;null;null
BD_91;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 alauda et 12 sophia et 1 ob.;poisson et tournois;1 alauda et 12 sophia et 1 ob. tur. parv.;null;null
BD_92;biendeclare;maison3;1;maison; null; null; null; null;null;null;magnum et pulcrum;null;null;null;1 alauda et 12 sophia et 1 ob.;poisson et tournois;1 alauda et 12 sophia et 1 ob. tur. parv.;null;null
BD_93;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. bon. tur. parv.;null;null
BD_94;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;0,75 alauda et 4 sophia et 1 ob.;poisson et tournois;3 partes 1 alauda et 4 sophia et 1 ob. tur. parv.;null;null
BD_95;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;4 sol.;tournois;1 alauda et 4 sophia et 1 ob. bon. tur. parv.;affranchi de la vigne episcopale;4 sol. bon. tur. parv.
BD_96;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 alauda et 12 sophia et 1 ob.;poisson et tournois;1 alauda et 12 sophia et 1 ob. bon. tur. parv.;null;null
BD_97;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;4 sol.;tournois;3 pars unus alauda 1 ob. tur. parv.;affranchi de la vigne episcopale;4 sol. bon. tur. parv.
BD_98;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 alauda et media et 30 sophia et 1 ob.;poisson et tournois;2 alauda et media et 30 sophia et 1 ob. tur. parv.;null;null
BD_99;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol.;tournois;2 alauda et media et 30 sophia et 1 ob. bon. tur. parv.;affranchi de la vigne episcopale;3 sol. bon. tur. parv.
BD_100;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;media alauda et 6 sophia et 1 ob.;poisson et tournois;media alauda et 6 sophia et 1 ob. bon. tur. parv.;null;null
BD_101;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;media alauda et 6 sophia et 1 ob. media alauda et 6 sophia et 1 ob. 18 den.;poisson et tournois;media alauda et 6 sophia et 1 ob. tur. parv. media alauda et 6 sophia et 1 ob. bon. tur. parv. 18 den. bon. tur. parv.;null;null
BD_102;biendeclare;maison3;1;maison; null; null; null; null;null;null;parvum;null;null;null;18 den.;tournois;media alauda et 6 sophia et 1 ob. bon. tur. parv.;affranchi de la vigne episcopale;18 den. bon. tur.
BD_103;biendeclare;2 maisons3 contigues et unies et reduites en une seule maison;2;maison; null; null; null; null;null;null;null;null;null;null;2 alauda et 24 sophia et 1 ob.;poisson et tournois;2 alauda et 24 sophia et 1 ob. tur. parv.;null;null
BD_104;biendeclare;2 maisons3 contigues et attenantes;2;maison; null; null; null; null;null;null;null;null;null;null;1 alauda et 12 sophia et 1 ob.;poisson et tournois;1 alauda et 12 sophia et 1 ob. tur. parv.;null;null
BD_105;biendeclare;part de maison3;1;part de maison; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. bon. tur. parv.;null;null
BD_106;biendeclare;maison3;1;maison; null; null; null; null;null;null;pulcrum;null;null;noviter de bonis quadris lapidum constructi;11 sol. 4 den.;tournois;7 sol. 7 den. bon. tur. parv.;affranchi de la vigne episcopale;11 sol. et 4 den.
BD_107;biendeclare;maison avec cave ou cellier profond avec voute en pierre;1;maison; null;cave; null; null;null;null;null;null;null;null;24 sol.;tournois;2 sol. 6 den. bon. tur. parv.;affranchi de la vigne episcopale;24 sol. bon. tur. parv.
BD_108;biendeclare;maison3;1;maison; null; null; null; null;null;null;pulcrum;null;null;null;6 den.;tournois;6 den. bon. tur. parv.;null;null
BD_109;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;9 den.;tournois;9 den. bon. tur. parv.;null;null
BD_110;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol 9 den.;tournois;2 sol 9 den. bon. tur. parv.;null;null
BD_111;biendeclare;maison2;1;maison; null; null; null; null;null;null;parvum;null;null;null;4 den. 1 ob.;tournois;4 den. et ob. bon. tur. parv.;null;null
BD_112;biendeclare;enclos ou petite cour fermee et maison2;1;maison; null;enclos ou petite cour fermee; null; null;null;null;null;latrina communes gentium domini cardinal guillelmi;null;null;4 den. 1 ob.;tournois;4 den. et ob. bon. tur. parv.;null;null
BD_113;biendeclare;maison2 et cour;1;maison; null;cour; null; null;null;null;dirutum;null;null;null;3 sol.;tournois;2 sol. bon. tur. parv.;affranchi de la vigne episcopale;3 sol. bon. tur. parv.
BD_114;biendeclare;emplacement occupe par des batiments ou destine a etre bati et cour contigue;1;emplacement occupe par des batiments ou destine a etre bati; null; null; null; null;null;null;quasi dirutum;null;null;null;1 emina ordei bonus et pulcrum et 1 bonus caponum et pinguem;orge et chapon;1 emina ordei bonus et pulcrum et 1 bonus caponum et pinguem;null;null
BD_115;biendeclare;maison3;1;maison; null; null; null; null;null;null;pulcrum;null;null;noviter de bonis quadris lapidum constructi;1 emina ordei bonus et pulcrum et 1 bonus caponum et pinguem et 1 panis 2 den. 1 den.;tournois;1 emina ordei bonus et pulcrum et 1 bonus caponum et pinguem et 1 panis 2 den. tur. et 1 den. bon. tur. parv.;null;null
BD_116;biendeclare;maison3 avec etage;1;maison; null; null; null; null;null;null;parvum, quasi totaliter dirutum et destructi;null;null;null;4 den.;tournois;1 ob. bon. tur. parv.;affranchi de la vigne episcopale;4 den. bon. tur. parv.
BD_117;biendeclare;maison3 et cour contigue et attenante et unie;1;maison; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. bon. tur. parv.;null;null
BD_118;biendeclare;2 maison3 contigues et attenantes;2;maison; null; null; null; null;null;null;null;null;null;null;10 sol.;tournois;10 sol. bon. tur. parv.;null;null
BD_119;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;7 sol.;tournois;7 sol. bon. tur. parv.;null;null
BD_120;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;13 sol.;tournois;13 sol. bon. tur. parv.;null;null
BD_121;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 den. 1 ob.;tournois;3 den. et 1 ob. tur. parv.;null;null
BD_122;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;5 sol.;tournois;3 den. et 1 ob. parv. tur;affranchi de la vigne episcopale;5 sol. bon. tur. parv.
BD_123;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 ob.;tournois;3 ob. bon. tur. parv.;null;null
BD_124;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 ob.;tournois;3 ob. bon. tur. parv.;null;null
BD_125;biendeclare;mur ou fondations de maison et maison avec pre et une terre;1;maison; null;mur ou fondation de maison;pre;terre;null;null;null;null;null;null;6 den.;tournois;4 den. et 1 ob. bon. tur. parv .3 ob.6 den. bon. tur. parv.;null;null
BD_126;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 sol.;tournois;2 sol. bon. tur. parv.;affranchi de la vigne episcopale;12 sol. bon. tur. parv.
BD_127;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol. 6 den.;tournois;2 sol. 6 den. bon. tur. parv.;null;null
BD_128;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 den.;tournois;3 den. bon. tur. parv.;null;null
BD_129;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo est quodam archus ou introitus ad quoddam curtile vel plateam ibidem a parte meridiei positam avec arcu lapidum;null;null;1 den.;tournois;1 den. bon. tur. parv.;null;null
BD_130;biendeclare;maison3 avec cour;1;maison; null; null; null; null;null;null;null;null;null;null;1 den.;tournois;1 alium den. bon. tur. parv.;null;null
BD_131;biendeclare;partie de maison3 avec grande place avec puit et verger;1;part de maison; null;place;verger;puit;null;null;pulcrum et magnum;null;null;null;2 den. 1 ob.;tournois;2 den. et 1 ob. bon. tur. parv.;null;null
BD_132;biendeclare;maison3 avec cour;1;maison; null; null; null; null;null;null;null;null;null;null;null;null;null;null;null
BD_133;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 den.;tournois;1 den. bon. tur. parv.;null;null
BD_134;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 den.;tournois;1 den. bon. tur. parv.;null;null
BD_135;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 ob.;tournois;1 ob. bon. tur. parv.;null;null
BD_136;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 sol.;tournois;20 sol. bon. tur. parv.;null;null
BD_137;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 sol.;tournois;20 sol. bon. tur. parv.;null;null
BD_138;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 den.;tournois;1 den. bon. tur. parv.;null;null
BD_139;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol.;tournois;3 sol. bon. tur. parv.;null;null
BD_140;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_141;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. bon. tur. parv.;null;null
BD_142;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;15 sol.;tournois;2 sol. bon. tur. parv.;affranchi de la vigne episcopale;15 sol. bon. tur. parv.
BD_143;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;10 sol.;tournois;3 sol. bon. tur. parv.;affranchi de la vigne episcopale;10 sol. bon. tur. parv.
BD_144;biendeclare;maison3;1;maison; null; null; null; null;null;null;magnum et longo;null;null;null;50 sol.;tournois;50 sol. bon. tur. parv.;null;null
BD_145;biendeclare;maison3;1;maison; null; null; null; null;null;null;magnum et pulcrum;null;null;noviter de bonis quadris lapidum constructi;5 sol. 10 den.;tournois;5 sol. 10 den. bon. tur. parv.;null;null
BD_146;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol. 6 den.;tournois;2 sol. 6 den. bon. tur. parv.;null;null
BD_147;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 den.;tournois;20 den. bon. tur. parv.;null;null
BD_148;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;9 sol.;tournois;16 den. bon. tur. parv.;affranchi de la vigne episcopale;9 sol. bon. tur. parv.
BD_149;biendeclare;maison3 indivise;1;maison; null; null; null; null;null;null;null;null;null;null;10 sol.;tournois;2 sol. 6 den. bon. tur. parv.;affranchi de la vigne episcopale;10 sol. bon. tur. parv.
BD_150;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 sol. 6 den.;tournois;3 sol. bon. tur. parv.;affranchi de la vigne episcopale;12 sol. 6 den. bon. tur. parv.
BD_151;biendeclare;maison3 dans laquelle il y a un puit;1;maison; null;puit; null; null;null;null;null;null;null;null;20 sol.;tournois;3 sol. bon. tur. parv.;affranchi de la vigne episcopale;20 sol. bon. tur. parv
BD_152;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 sol.;tournois;12 den. bon. tur. parv.;affranchi de la vigne episcopale;20 sol. bon. tur. parv
BD_153;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;10 sol.;tournois;4 sol. bon. tur. parv.;affranchi de la vigne episcopale;10 sol. bon. tur. parv.
BD_154;biendeclare;cellier avec une piece au dessus;1;cellier; null;piece au dessus; null; null;null;null;null;null;null;null;8 den. 1 ob.;tournois;8 den. et 1 ob. bon. tur. parv.;null;null
BD_155;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo inhabitat;null;null;8 sol.;tournois;12 den. bon. tur. parv.;affranchi de la vigne episcopale;8 sol. bon. tur. parv.
BD_156;biendeclare;maison3 dans laquelle il y a un puit;1;maison; null;puit; null; null;null;null;null;null;null;null;3 sol.;tournois;3 sol. bon. tur. parv.;null;null
BD_157;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol. 3 den.;tournois;3 sol. 3 den. bon. tur. parv.;null;null
BD_158;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 den.;tournois;2 den. bon. tur. parv.;null;null
BD_159;biendeclare;2 maisons3 contigues et attenantes;2;maison; null; null; null; null;null;null;null;null;null;null;1 ob.;tournois;1 ob. tur. bon. parv.;null;null
BD_160;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 ob.;tournois;1 ob. bon. tur. parv.;null;null
