"id","nom","geom","area","perimeter","type","idsave","datePremiereMention","dateCreation"
432,"Bourg de Berenger de Tarascon","01060000206A080000010000000103000000010000000500000030F3BB30F4C82941095F4480FA1958411BD462FCEEC829418B00A546F2195841F85963B840C9294124B56BB7F2195841B2D7491550C9294182021668FB19584130F3BB30F4C82941095F4480FA195841",NULL,NULL,NULL,20,NULL,NULL
451,"Bourg de Milone Robert","01060000206A0800000100000001030000000100000005000000E36971CC09CE29414861D3B4F619584133F9C808F7CD29417AA050D7EC1958419485BA7F2FCE2941F8A39CD0E81958419F62423646CE2941955E0456F4195841E36971CC09CE29414861D3B4F6195841",NULL,NULL,NULL,39,NULL,NULL
460,"Bourg des Cabassoles","01060000206A0800000100000001030000000100000005000000BC6AE82267CE2941D094EC83671A5841DCE4C0EBA8CE2941584256066C1A58411E29DAD3ECCE2941F27C94C3511A5841BB2E1AE296CE2941AE63AC7F511A5841BC6AE82267CE2941D094EC83671A5841",NULL,NULL,NULL,48,NULL,NULL
461,"Bourg Saint-Lazare puis du chapitre Saint-Agricol","01060000206A080000010000000103000000010000000500000017CE37C93FCE29410FD83BC5931A5841E3E3523543CE2941E3164383841A5841ABEB2E6BA1CE294172D4B4BB831A5841F35B6474A6CE2941C83ABF32941A584117CE37C93FCE29410FD83BC5931A5841",NULL,NULL,NULL,49,NULL,NULL
462,"Bourg de Saint-Laurent","01060000206A0800000100000001030000000100000005000000761D409F9BCE2941EEC7633BDF1958411970BFEF89CE2941CDC0B8CCD5195841C8EBAA27E9CE29414C8D5082D4195841B905B171F5CE29415D19A9D5DC195841761D409F9BCE2941EEC7633BDF195841",NULL,NULL,NULL,50,NULL,NULL
447,"Bourg de François Barral","01060000206A0800000100000001030000000100000005000000990458A824CE294165BAED37E01958415FD60D2020CE2941297D27C5D419584163A8924A68CE29415EEE139CD8195841A04AF9B16BCE29419BF191A8E2195841990458A824CE294165BAED37E0195841",NULL,NULL,NULL,35,NULL,NULL
449,"Bourg de Durand et François Aureille","01060000206A080000010000000103000000010000000500000095DB4ACD50CD2941595D4E29F91958418F76ABA151CD29418944C210EE1958410473CD0EACCD2941CA1DAADBED195841349BC86BA5CD29411784665EF919584195DB4ACD50CD2941595D4E29F9195841",NULL,NULL,NULL,37,NULL,NULL
437,"Bourg de Guillaume Martin","01060000206A08000001000000010300000001000000060000009DF5C30C0DC829419181F466FA195841004547D40AC829418FB03F66FA1958418EB4697012C82941A72F14C2EE19584134FCFFFF6DC82941DAC24781EE195841810DEDC174C8294176E4F087FA1958419DF5C30C0DC829419181F466FA195841",NULL,NULL,NULL,25,NULL,NULL
417,"Bourgs des Milasses","01060000206A0800000100000001030000000100000005000000A6E7D429BEC629416E0A2A0EF7195841C4B8A366CAC6294173D1015BE7195841C84CA4D422C729417ECC26AFE7195841B22DD23116C729415D3DAA88F7195841A6E7D429BEC629416E0A2A0EF7195841",NULL,NULL,NULL,5,NULL,NULL
421,"Bourg de Pons Auger","01060000206A080000010000000103000000010000000500000092D8A16C5DC72941957671D60C1A58412AE7005763C72941ECCEEB8E061A5841BC00086AA5C72941572488AD071A58419BA1D6639DC7294186C074F50D1A584192D8A16C5DC72941957671D60C1A5841",NULL,NULL,NULL,9,NULL,NULL
