"idLienIndividu","idIndividu1","idIndividu2","descriptionLien","typeLien"
241,190,832,"familier","LITRA"
1334,2644,282,"fils","LIFAM"
1344,2800,2801,"fils","LIFAM"
1353,2813,2814,"fils","LIFAM"
1360,2827,2828,"fils","LIFAM"
1370,2618,2663,"fils","LIFAM"
1373,2570,2642,"fils","LIFAM"
1375,2822,2595,"fils","LIFAM"
1515,2985,2455,"fils","LIFAM"
1518,2989,649,"fils","LIFAM"
1522,2995,2997,"fils","LIFAM"
1303,2546,2518,"fils","LIFAM"
1304,2547,2518,"fils","LIFAM"
1305,2548,2518,"fils","LIFAM"
1469,2955,2956,"gendre","LIFAM"
1447,2852,1080,"grossateur","LITRA"
1332,2796,211,"heritier","LIFAM"
1349,2575,750,"heritier","LIFAM"
1350,2576,750,"heritier","LIFAM"
1376,2552,2838,"heritier","LIFAM"
1443,2845,2846,"heritier","LIFAM"
1408,2839,74,"heritier","LIFAM"
1412,2837,199,"heritier","LIFAM"
1444,2845,2847,"heritier","LIFAM"
1445,2849,2848,"heritier","LIFAM"
1446,2850,627,"heritier","LIFAM"
1451,2877,2878,"heritier","LIFAM"
1385,1105,1080,"huissier","LITRA"
1390,201,1080,"huissier","LITRA"
1391,159,1080,"huissier","LITRA"
1521,2994,2993,"maitre des chevaux","LITRA"
1387,382,193,"portier","LITRA"
1357,2653,897,"epouse dorenavant","LIFAM"
274,250,1080,"palefrenier","LITRA"
1393,82,1080,"palefrenier","LITRA"
1438,378,113,"palefrenier","LITRA"
1452,2882,1080,"portier","LITRA"
1394,145,1080,"procureur fiscal","LITRA"
1351,2580,2650,"veuve","LIFAM"
1362,2596,2655,"veuve","LIFAM"
1368,2605,2661,"veuve","LIFAM"
1460,42,833,"veuve","LIFAM"
1250,2718,2719,"epouse","LIFAM"
1252,2521,2626,"epouse","LIFAM"
1254,2720,2721,"epouse","LIFAM"
1255,2723,2722,"epouse","LIFAM"
1260,2733,2734,"epouse","LIFAM"
1269,2535,2629,"epouse","LIFAM"
1282,2748,2537,"epouse","LIFAM"
1285,2751,2752,"epouse","LIFAM"
1291,2757,2758,"epouse","LIFAM"
1296,2543,2635,"epouse","LIFAM"
1298,2544,2637,"epouse","LIFAM"
1300,2767,2766,"epouse","LIFAM"
1508,2977,2976,"epouse","LIFAM"
1512,2979,2982,"epouse","LIFAM"
1321,2787,2788,"epouse","LIFAM"
1323,2789,2790,"epouse","LIFAM"
1345,2573,2648,"epouse","LIFAM"
1352,2809,2808,"epouse","LIFAM"
1354,2816,2813,"epouse","LIFAM"
1355,2588,2651,"epouse","LIFAM"
1356,2652,897,"epouse","LIFAM"
1591,3403,3909,"soeur","LIFAM"
1505,1039,1080,"vice chancelier","LITRA"
1504,635,1080,"scribe de la penitencerie","LITRA"
1556,3097,3096,"conseiller compagnon","LIFAM"
1618,3791,1080,"sergent d armes","LITRA"
1532,3017,1080,"ecuyer","LITRA"
1492,647,1383,"marit us filia","LIFAM"
394,1052,1080,"sergent d armes","LITRA"
1894,3721,1080,"sergent d armes","LITRA"
1896,6472,1080,"sergent d armes","LITRA"
1897,7025,1080,"sergent d armes","LITRA"
1898,7401,1080,"sergent d armes","LITRA"
1899,8235,1080,"sergent d armes","LITRA"
1327,2563,2641,"epouse","LIFAM"
1328,2792,2793,"epouse","LIFAM"
1912,9027,1028,"epouse","LIFAM"
1913,9032,9029,"epouse","LIFAM"
1358,2829,2595,"epouse","LIFAM"
1364,2599,2657,"epouse","LIFAM"
1365,2600,2485,"epouse","LIFAM"
1366,2601,2658,"epouse","LIFAM"
1367,2602,2659,"epouse","LIFAM"
1369,2605,2662,"epouse","LIFAM"
1372,2565,473,"epouse","LIFAM"
1374,2604,2603,"epouse","LIFAM"
1409,2835,2247,"epouse","LIFAM"
1448,2865,2866,"epouse","LIFAM"
1476,1387,613,"fille","LIFAM"
290,339,403,"familier","LITRA"
1503,1389,1080,"courrier","LITRA"
1483,1374,1373,"fille","LIFAM"
1487,1378,1332,"fille","LIFAM"
1549,3076,3885,"fille","LIFAM"
1558,3115,3890,"fille","LIFAM"
1470,1386,1295,"fils","LIFAM"
1480,622,1323,"fils","LIFAM"
1481,624,543,"fils","LIFAM"
1494,657,646,"fils","LIFAM"
1482,627,628,"frere","LIFAM"
1498,622,623,"frere","LIFAM"
1526,3000,3001,"frere","LIFAM"
1540,3029,3030,"frere","LIFAM"
1544,3042,3043,"frere","LIFAM"
1555,3756,3755,"frere","LIFAM"
1560,3282,3281,"frere","LIFAM"
1562,3380,3381,"frere","LIFAM"
1566,3763,3762,"frere","LIFAM"
1571,3296,3297,"frere","LIFAM"
1572,3353,3352,"frere","LIFAM"
1579,3741,3742,"frere","LIFAM"
1584,3251,3250,"frere","LIFAM"
1614,3974,3975,"frere","LIFAM"
1615,3745,3746,"frere","LIFAM"
1616,3980,3981,"frere","LIFAM"
1919,9046,9045,"frere","LIFAM"
1497,1387,613,"heritier","LIFAM"
1915,9043,341,"heritier","LIFAM"
1525,2996,2997,"heritier","LIFAM"
1916,9044,2455,"heritier","LIFAM"
1529,3013,3014,"heritier","LIFAM"
1534,3019,492,"heritier","LIFAM"
1546,3061,3060,"heritier","LIFAM"
1548,3067,3066,"heritier","LIFAM"
1586,3334,3905,"heritier","LIFAM"
1589,3402,3908,"heritier","LIFAM"
1601,3193,3919,"heritier","LIFAM"
1609,3685,3684,"heritier","LIFAM"
1610,3685,3120,"heritier","LIFAM"
1613,3934,3935,"heritier","LIFAM"
1617,3988,3990,"heritier","LIFAM"
278,112,1063,"heritier","LIFAM"
1215,2497,1892,"heritier","LIFAM"
1506,667,1080,"huissier de la premiere porte du palais","LITRA"
1603,3465,3920,"enfant","LIFAM"
1551,3588,3887,"enfant","LIFAM"
1552,3650,3888,"enfant","LIFAM"
1554,3751,3889,"enfant","LIFAM"
1557,3110,3109,"enfant","LIFAM"
1559,3221,3891,"enfant","LIFAM"
1561,3379,3892,"enfant","LIFAM"
1563,3539,3893,"enfant","LIFAM"
1567,3777,3778,"enfant","LIFAM"
1568,3116,3890,"enfant","LIFAM"
1569,3205,3896,"enfant","LIFAM"
1575,3549,3899,"enfant","LIFAM"
1576,3628,3900,"enfant","LIFAM"
1590,3402,3908,"enfant","LIFAM"
1600,3882,3918,"enfant","LIFAM"
1479,1372,1319,"epouse","LIFAM"
1528,206,3009,"petit fils neveu","LIFAM"
1553,3689,3690,"petit fils neveu","LIFAM"
1587,3377,3906,"petite fille niece","LIFAM"
1474,610,1365,"veuve","LIFAM"
1490,1381,1382,"epouse dorenavant","LIFAM"
98,717,1080,"portier","LITRA"
1748,183,7766,"veuve","LIFAM"
1491,1381,1347,"veuve","LIFAM"
1493,652,1388,"veuve","LIFAM"
1495,666,1384,"veuve","LIFAM"
1449,2873,2874,"epouse","LIFAM"
1471,597,1303,"epouse","LIFAM"
852,2097,201,"conseiller compagnon","LIFAM"
883,2084,1080,"palefrenier","LITRA"
841,2275,50,"fils","LIFAM"
945,1953,1080,"secretaire","LITRA"
1900,8459,1080,"sergent d armes","LITRA"
1413,1116,1080,"sergent d armes","LITRA"
1454,2886,2887,"epouse","LIFAM"
1467,2918,2919,"epouse","LIFAM"
138,989,807,"epouse","LIFAM"
1520,2990,663,"epouse","LIFAM"
1472,1363,1305,"epouse","LIFAM"
1475,1387,1364,"epouse","LIFAM"
1477,618,1368,"epouse","LIFAM"
1478,1369,1370,"epouse","LIFAM"
1484,1375,1325,"epouse","LIFAM"
1485,1377,1376,"epouse","LIFAM"
1486,1378,1379,"epouse","LIFAM"
1489,637,1380,"epouse","LIFAM"
1496,670,1385,"epouse","LIFAM"
849,2151,2279,"fille","LIFAM"
