idInvariant1,idInvariant2,lienArtificiel
412_46,412_47,confronte avec
412_47,412_48,confronte avec
412_48,412_49,confronte avec
412_49,412_50,confronte avec
412_50,412_51,confronte avec
412_51,412_52,confronte avec
412_52,412_53,confronte avec
412_53,412_54,confronte avec
412_54,412_55,confronte avec
412_55,412_56,confronte avec
667_1,667_2,confronte avec
667_2,667_3,confronte avec
667_3,667_4,confronte avec
667_4,667_5,confronte avec
667_5,667_6,confronte avec
667_6,667_7,confronte avec
667_7,667_8,confronte avec
667_8,667_9,confronte avec
667_9,667_10,confronte avec
667_10,667_11,confronte avec
667_11,667_12,confronte avec
667_12,667_13,confronte avec
667_13,667_14,confronte avec
667_14,667_15,confronte avec
667_15,667_16,confronte avec
667_16,667_17,confronte avec
667_17,667_18,confronte avec
667_18,667_19,confronte avec
667_19,667_20,confronte avec
667_20,667_21,confronte avec
667_21,667_22,confronte avec
667_22,667_23,confronte avec
667_23,667_24,confronte avec
667_24,667_25,confronte avec
667_25,667_26,confronte avec
667_26,667_27,confronte avec
667_27,667_28,confronte avec
667_28,667_29,confronte avec
667_29,667_30,confronte avec
667_30,667_31,confronte avec
667_31,667_32,confronte avec
667_32,667_33,confronte avec
666_1,666_2,confronte avec
666_2,666_3,confronte avec
666_3,666_4,confronte avec
666_4,666_5,confronte avec
666_5,666_6,confronte avec
666_6,666_7,confronte avec
666_7,666_8,confronte avec
666_8,666_9,confronte avec
666_9,666_10,confronte avec
666_10,666_11,confronte avec
666_11,666_12,confronte avec
666_12,666_13,confronte avec
666_13,666_14,confronte avec
666_14,666_15,confronte avec
666_15,666_16,confronte avec
666_16,666_17,confronte avec
666_17,666_18,confronte avec
666_18,666_19,confronte avec
666_19,666_20,confronte avec
666_20,666_21,confronte avec
666_21,666_22,confronte avec
666_22,666_23,confronte avec
666_23,666_24,confronte avec
666_24,666_25,confronte avec
666_25,666_26,confronte avec
666_26,666_27,confronte avec
488_1,488_2,confronte avec
488_2,488_3,confronte avec
488_3,488_4,confronte avec
488_4,488_5,confronte avec
488_5,488_6,confronte avec
488_6,488_7,confronte avec
488_7,488_8,confronte avec
488_8,488_9,confronte avec
488_9,488_10,confronte avec
488_10,488_11,confronte avec
488_11,488_12,confronte avec
488_12,488_13,confronte avec
488_13,488_14,confronte avec
488_14,488_15,confronte avec
488_15,488_16,confronte avec
488_16,488_17,confronte avec
488_17,488_18,confronte avec
488_18,488_19,confronte avec
488_19,488_20,confronte avec
488_20,488_21,confronte avec
488_21,488_22,confronte avec
488_22,488_23,confronte avec
488_23,488_24,confronte avec
488_24,488_25,confronte avec
488_25,488_26,confronte avec
488_26,488_27,confronte avec
488_27,488_28,confronte avec
488_28,488_29,confronte avec
488_29,488_30,confronte avec
488_30,488_31,confronte avec
488_31,488_32,confronte avec
488_32,488_33,confronte avec
488_33,488_34,confronte avec
488_34,488_35,confronte avec
488_35,488_36,confronte avec
488_36,488_37,confronte avec
488_37,488_38,confronte avec
488_38,488_39,confronte avec
488_39,488_40,confronte avec
488_40,488_41,confronte avec
488_41,488_42,confronte avec
488_42,488_43,confronte avec
488_43,488_44,confronte avec
488_44,488_45,confronte avec
488_45,488_46,confronte avec
488_46,488_47,confronte avec
488_47,488_48,confronte avec
488_48,488_49,confronte avec
488_49,488_50,confronte avec
488_50,488_51,confronte avec
488_51,488_52,confronte avec
488_52,488_53,confronte avec
487_1,487_2,confronte avec
487_2,487_3,confronte avec
487_3,487_4,confronte avec
487_4,487_5,confronte avec
487_5,487_6,confronte avec
487_6,487_7,confronte avec
487_7,487_8,confronte avec
