idConfront,localisation,idBien1,idBien2,idInvariant,idQuartierParoisse,localisationTN
1031,a-orient,14,NULL,154,NULL,confronte a l est avec
1345,a-occident,14,NULL,54,NULL,confronte a l ouest avec
5485,in,14,NULL,NULL,4,a l interieur de
26,a-circio,15,14,NULL,NULL,confronte au nord avec
27,a-meridie,15,16,NULL,NULL,confronte au sud avec
1032,a-orient,15,NULL,154,NULL,confronte a l est avec
1346,a-occident,15,NULL,54,NULL,confronte a l ouest avec
5486,in,15,NULL,NULL,4,a l interieur de
28,a-circio,16,15,NULL,NULL,confronte au nord avec
29,a-orient,16,17,NULL,NULL,confronte a l est avec
1347,a-occident,16,NULL,54,NULL,confronte a l ouest avec
1348,a-meridie,16,NULL,54,NULL,confronte au sud avec
5487,in,16,NULL,NULL,4,a l interieur de
30,a-occident,17,16,NULL,NULL,confronte a l ouest avec
31,a-occident,17,805,NULL,NULL,confronte a l ouest avec
1033,a-circio,17,NULL,154,NULL,confronte au nord avec
1349,a-meridie,17,NULL,54,NULL,confronte au sud avec
5488,in,17,NULL,NULL,4,a l interieur de
32,a-occident,18,806,NULL,NULL,confronte a l ouest avec
33,a-meridie,18,40,NULL,NULL,confronte au sud avec
34,a-orient,18,19,NULL,NULL,confronte a l est avec
1388,a-circio,18,NULL,55,NULL,confronte au nord avec
5489,in,18,NULL,NULL,5,a l interieur de
35,a-occident,19,18,NULL,NULL,confronte a l ouest avec
36,a-orient,19,20,NULL,NULL,confronte a l est avec
1013,a-meridie,19,NULL,131,NULL,confronte au sud avec
1389,a-circio,19,NULL,55,NULL,confronte au nord avec
5490,in,19,NULL,NULL,5,a l interieur de
37,a-occident,20,19,NULL,NULL,confronte a l ouest avec
38,a-orient,20,21,NULL,NULL,confronte a l est avec
1014,a-meridie,20,NULL,131,NULL,confronte au sud avec
1390,a-circio,20,NULL,55,NULL,confronte au nord avec
5491,in,20,NULL,NULL,5,a l interieur de
39,a-occident,21,20,NULL,NULL,confronte a l ouest avec
40,a-orient,21,22,NULL,NULL,confronte a l est avec
1015,a-meridie,21,NULL,131,NULL,confronte au sud avec
1391,a-circio,21,NULL,55,NULL,confronte au nord avec
5492,in,21,NULL,NULL,5,a l interieur de
41,a-occident,22,21,NULL,NULL,confronte a l ouest avec
42,a-orient,22,23,NULL,NULL,confronte a l est avec
1016,a-meridie,22,NULL,131,NULL,confronte au sud avec
1392,a-circio,22,NULL,55,NULL,confronte au nord avec
5493,in,22,NULL,NULL,5,a l interieur de
43,a-occident,23,22,NULL,NULL,confronte a l ouest avec
44,a-orient,23,24,NULL,NULL,confronte a l est avec
1017,a-meridie,23,NULL,131,NULL,confronte au sud avec
1036,a-meridie,23,NULL,156,NULL,confronte au sud avec
1393,a-circio,23,NULL,55,NULL,confronte au nord avec
5494,in,23,NULL,NULL,5,a l interieur de
45,a-occident,24,23,NULL,NULL,confronte a l ouest avec
46,a-orient,24,25,NULL,NULL,confronte a l est avec
1037,a-meridie,24,NULL,156,NULL,confronte au sud avec
1394,a-circio,24,NULL,55,NULL,confronte au nord avec
5495,in,24,NULL,NULL,5,a l interieur de
47,a-occident,25,24,NULL,NULL,confronte a l ouest avec
48,a-meridie,25,26,NULL,NULL,confronte au sud avec
1038,a-meridie,25,NULL,156,NULL,confronte au sud avec
1350,a-circio,25,NULL,54,NULL,confronte au nord avec
1351,a-orient,25,NULL,54,NULL,confronte a l est avec
5496,in,25,NULL,NULL,5,a l interieur de
49,a-circio,26,25,NULL,NULL,confronte au nord avec
50,a-meridie,26,27,NULL,NULL,confronte au sud avec
1039,a-occident,26,NULL,156,NULL,confronte a l ouest avec
1352,a-orient,26,NULL,54,NULL,confronte a l est avec
5497,in,26,NULL,NULL,5,a l interieur de
51,a-circio,27,26,NULL,NULL,confronte au nord avec
1040,a-occident,27,NULL,156,NULL,confronte a l ouest avec
1058,a-meridie,27,NULL,159,NULL,confronte au sud avec
1353,a-orient,27,NULL,54,NULL,confronte a l est avec
1354,in,27,NULL,54,NULL,dans
5498,in,27,NULL,NULL,5,a l interieur de
52,a-orient,28,807,NULL,NULL,confronte a l est avec
53,a-circio,28,29,NULL,NULL,confronte au nord avec
1355,a-meridie,28,NULL,54,NULL,confronte au sud avec
1356,a-occident,28,NULL,54,NULL,confronte a l ouest avec
1522,a-meridie,28,NULL,11127,NULL,confronte au sud avec
5499,in,28,NULL,NULL,5,a l interieur de
54,a-meridie,29,28,NULL,NULL,confronte au sud avec
55,a-orient,29,807,NULL,NULL,confronte a l est avec
56,a-circio,29,30,NULL,NULL,confronte au nord avec
1357,a-occident,29,NULL,54,NULL,confronte a l ouest avec
5500,in,29,NULL,NULL,5,a l interieur de
57,a-meridie,30,29,NULL,NULL,confronte au sud avec
58,a-orient,30,808,NULL,NULL,confronte a l est avec
59,a-circio,30,31,NULL,NULL,confronte au nord avec
1358,a-occident,30,NULL,54,NULL,confronte a l ouest avec
5501,in,30,NULL,NULL,5,a l interieur de
60,a-meridie,31,30,NULL,NULL,confronte au sud avec
61,a-orient,31,810,NULL,NULL,confronte a l est avec
62,a-circio,31,32,NULL,NULL,confronte au nord avec
1359,a-occident,31,NULL,54,NULL,confronte a l ouest avec
5502,in,31,NULL,NULL,5,a l interieur de
63,a-meridie,32,31,NULL,NULL,confronte au sud avec
64,a-circio,32,34,NULL,NULL,confronte au nord avec
65,a-orient,32,33,NULL,NULL,confronte a l est avec
1360,a-occident,32,NULL,54,NULL,confronte a l ouest avec
5503,in,32,NULL,NULL,5,a l interieur de
66,a-occident,33,32,NULL,NULL,confronte a l ouest avec
67,a-orient,33,809,NULL,NULL,confronte a l est avec
68,a-meridie,33,810,NULL,NULL,confronte au sud avec
69,a-circio,33,34,NULL,NULL,confronte au nord avec
5504,in,33,NULL,NULL,5,a l interieur de
70,a-meridie,34,32,NULL,NULL,confronte au sud avec
71,a-orient,34,811,NULL,NULL,confronte a l est avec
72,a-circio,34,35,NULL,NULL,confronte au nord avec
1361,a-occident,34,NULL,54,NULL,confronte a l ouest avec
5505,in,34,NULL,NULL,5,a l interieur de
73,a-meridie,35,34,NULL,NULL,confronte au sud avec
74,a-orient,35,812,NULL,NULL,confronte a l est avec
75,a-circio,35,36,NULL,NULL,confronte au nord avec
1362,a-occident,35,NULL,54,NULL,confronte a l ouest avec
5506,in,35,NULL,NULL,5,a l interieur de
76,a-meridie,36,35,NULL,NULL,confronte au sud avec
77,a-orient,36,813,NULL,NULL,confronte a l est avec
78,a-circio,36,37,NULL,NULL,confronte au nord avec
1363,a-occident,36,NULL,54,NULL,confronte a l ouest avec
5507,in,36,NULL,NULL,5,a l interieur de
79,a-meridie,37,36,NULL,NULL,confronte au sud avec
80,a-orient,37,38,NULL,NULL,confronte a l est avec
1364,a-occident,37,NULL,54,NULL,confronte a l ouest avec
1365,a-circio,37,NULL,54,NULL,confronte au nord avec
5508,in,37,NULL,NULL,5,a l interieur de
81,a-occident,38,37,NULL,NULL,confronte a l ouest avec
82,a-meridie,38,814,NULL,NULL,confronte au sud avec
83,a-orient,38,39,NULL,NULL,confronte a l est avec
1366,a-circio,38,NULL,54,NULL,confronte au nord avec
5509,in,38,NULL,NULL,5,a l interieur de
84,a-occident,39,38,NULL,NULL,confronte a l ouest avec
85,a-orient,39,815,NULL,NULL,confronte a l est avec
86,a-meridie,39,815,NULL,NULL,confronte au sud avec
1367,a-circio,39,NULL,54,NULL,confronte au nord avec
5510,in,39,NULL,NULL,5,a l interieur de
87,a-circio,40,18,NULL,NULL,confronte au nord avec
1018,juxta,40,NULL,131,NULL,a cote de
1019,a-orient,40,NULL,131,NULL,confronte a l est avec
1020,a-meridie,40,NULL,131,NULL,confronte au sud avec
1368,a-occident,40,NULL,76,NULL,confronte a l ouest avec
5511,in,40,NULL,NULL,5,a l interieur de
1021,a-orient,41,NULL,131,NULL,confronte a l est avec
1022,a-circio,41,NULL,131,NULL,confronte au nord avec
1369,a-occident,41,NULL,76,NULL,confronte a l ouest avec
5512,in,41,NULL,NULL,5,a l interieur de
88,a-occident,42,43,NULL,NULL,confronte a l ouest avec
89,a-occident,42,44,NULL,NULL,confronte a l ouest avec
90,a-meridie,42,45,NULL,NULL,confronte au sud avec
1023,a-circio,42,NULL,131,NULL,confronte au nord avec
5513,in,42,NULL,NULL,5,a l interieur de
91,a-orient,43,42,NULL,NULL,confronte a l est avec
92,a-meridie,43,44,NULL,NULL,confronte au sud avec
1370,a-occident,43,NULL,76,NULL,confronte a l ouest avec
1371,a-circio,43,NULL,76,NULL,confronte au nord avec
5514,in,43,NULL,NULL,5,a l interieur de
93,a-orient,44,42,NULL,NULL,confronte a l est avec
94,a-circio,44,43,NULL,NULL,confronte au nord avec
95,a-meridie,44,45,NULL,NULL,confronte au sud avec
1395,a-occident,44,NULL,62,NULL,confronte a l ouest avec
5515,in,44,NULL,NULL,5,a l interieur de
96,a-circio,45,44,NULL,NULL,confronte au nord avec
97,a-circio,45,43,NULL,NULL,confronte au nord avec
1041,a-meridie,45,NULL,156,NULL,confronte au sud avec
1396,a-orient,45,NULL,62,NULL,confronte a l est avec
1397,a-occident,45,NULL,62,NULL,confronte a l ouest avec
1427,a-meridie,45,NULL,76,NULL,confronte au sud avec
5516,in,45,NULL,NULL,5,a l interieur de
98,a-circio,46,47,NULL,NULL,confronte au nord avec
99,a-circio,46,48,NULL,NULL,confronte au nord avec
1372,in-capite,46,NULL,54,NULL,au debut de
1373,a-orient,46,NULL,54,NULL,confronte a l est avec
1374,a-occident,46,NULL,54,NULL,confronte a l ouest avec
5517,in,46,NULL,NULL,5,a l interieur de
100,a-meridie,47,46,NULL,NULL,confronte au sud avec
101,a-orient,47,48,NULL,NULL,confronte a l est avec
102,a-circio,47,49,NULL,NULL,confronte au nord avec
1042,a-occident,47,NULL,156,NULL,confronte a l ouest avec
1428,a-occident,47,NULL,76,NULL,confronte a l ouest avec
5518,in,47,NULL,NULL,5,a l interieur de
103,a-meridie,48,46,NULL,NULL,confronte au sud avec
104,a-occident,48,47,NULL,NULL,confronte a l ouest avec
105,a-circio,48,49,NULL,NULL,confronte au nord avec
1376,a-orient,48,NULL,54,NULL,confronte a l est avec
5519,in,48,NULL,NULL,5,a l interieur de
106,a-meridie,49,47,NULL,NULL,confronte au sud avec
107,a-meridie,49,48,NULL,NULL,confronte au sud avec
108,a-circio,49,50,NULL,NULL,confronte au nord avec
1043,a-occident,49,NULL,156,NULL,confronte a l ouest avec
1377,a-orient,49,NULL,54,NULL,confronte a l est avec
1429,a-occident,49,NULL,76,NULL,confronte a l ouest avec
5520,in,49,NULL,NULL,5,a l interieur de
109,a-meridie,50,49,NULL,NULL,confronte au sud avec
110,a-circio,50,51,NULL,NULL,confronte au nord avec
1044,a-occident,50,NULL,156,NULL,confronte a l ouest avec
1378,a-orient,50,NULL,54,NULL,confronte a l est avec
1430,a-occident,50,NULL,76,NULL,confronte a l ouest avec
5521,in,50,NULL,NULL,5,a l interieur de
111,a-meridie,51,50,NULL,NULL,confronte au sud avec
