Source;Target;Type;Label;typeLien;Wheigt
106;861;;uxor;LienFamille;1
107;113;;sororius sive cognatus;LienFamille;1
107;1080;;scutifer;LienProfessionel;1
108;706;;heres;LienFamille;1
110;1017;;heres;LienFamille;1
111;113;;camerari;LienProfessionel;1
112;1065;;heres;LienFamille;1
112;1063;;filius;LienFamille;1
112;1065;;filius;LienFamille;1
112;1063;;heres;LienFamille;1
114;915;;uxor;LienFamille;1
115;896;;filius;LienFamille;1
115;896;;heres;LienFamille;1
116;1057;;filia;LienFamille;1
116;731;;uxor;LienFamille;1
116;1057;;heres;LienFamille;1
117;921;;heres;LienFamille;1
118;113;;frater;LienFamille;1
119;787;;uxor;LienFamille;1
119;1069;;filia;LienFamille;1
119;1069;;heres;LienFamille;1
119;787;;uxor;LienFamille;1
119;1069;;heres;LienFamille;1
119;1069;;filia;LienFamille;1
120;712;;filia;LienFamille;1
120;722;;uxor;LienFamille;1
122;1059;;heres;LienFamille;1
122;1059;;frater;LienFamille;1
122;1074;;frater;LienFamille;1
123;1059;;heres;LienFamille;1
124;125;;frater;LienFamille;1
124;1060;;heres;LienFamille;1
124;126;;frater;LienFamille;1
124;1060;;filius;LienFamille;1
125;1060;;filius;LienFamille;1
125;1060;;heres;LienFamille;1
126;1060;;heres;LienFamille;1
126;125;;frater;LienFamille;1
126;1060;;filius;LienFamille;1
127;57;;uxor;LienFamille;1
127;1074;;heres;LienFamille;1
127;1074;;filia;LienFamille;1
128;1053;;heres;LienFamille;1
129;1020;;heres;LienFamille;1
130;958;;heres;LienFamille;1
131;957;;filius;LienFamille;1
131;1080;;capellanus commensalis;LienProfessionel;1
132;914;;heres;LienFamille;1
133;847;;heres;LienFamille;1
135;797;;heres;LienFamille;1
137;886;;heres;LienFamille;1
138;962;;uxor;LienFamille;1
138;882;;heres;LienFamille;1
138;882;;filia;LienFamille;1
140;1071;;heres;LienFamille;1
141;763;;nepos;LienFamille;1
144;799;;relicta;LienFamille;1
145;1080;;procurator fiscalis;LienProfessionel;1
148;1079;;heres;LienFamille;1
149;973;;relicta;LienFamille;1
149;973;;relicta;LienFamille;1
150;873;;relicta;LienFamille;1
150;812;;uxor;LienFamille;1
151;403;;familiaris;LienProfessionel;1
153;890;;heres;LienFamille;1
153;890;;filius;LienFamille;1
153;1072;;familiaris;LienProfessionel;1
153;1072;;scutifer;LienProfessionel;1
154;693;;mater;LienFamille;1
154;1076;;relicta;LienFamille;1
155;756;;relicta;LienFamille;1
156;741;;heres;LienFamille;1
158;781;;relicta;LienFamille;1
158;157;;conjuges;LienFamille;1
159;1080;;hostiarius;LienProfessionel;1
161;968;;filius;LienFamille;1
161;968;;heres;LienFamille;1
162;1290;;heres;LienFamille;1
163;685;;heres;LienFamille;1
164;752;;uxor;LienFamille;1
165;998;;heres;LienFamille;1
165;998;;filius;LienFamille;1
165;1046;;filius;LienFamille;1
166;167;;frater;LienFamille;1
166;1028;;filius;LienFamille;1
166;1028;;heres;LienFamille;1
167;1028;;heres;LienFamille;1
167;1028;;filius;LienFamille;1
168;1037;;filia;LienFamille;1
168;417;;uxor;LienFamille;1
168;1037;;heres;LienFamille;1
171;954;;relicta;LienFamille;1
171;954;;relicta;LienFamille;1
172;317;;uxor;LienFamille;1
172;874;;heres;LienFamille;1
172;845;;relicta;LienFamille;1
172;874;;filia;LienFamille;1
173;664;;uxor;LienFamille;1
173;596;;filia;LienFamille;1
174;969;;heres;LienFamille;1
174;969;;filius;LienFamille;1
175;755;;heres;LienFamille;1
176;615;;heres;LienFamille;1
177;178;;frater;LienFamille;1
177;1061;;heres;LienFamille;1
177;1061;;filius;LienFamille;1
178;179;;frater;LienFamille;1
178;1061;;heres;LienFamille;1
178;1061;;filius;LienFamille;1
179;1061;;filius;LienFamille;1
179;177;;frater;LienFamille;1
179;1061;;heres;LienFamille;1
180;1064;;heres;LienFamille;1
180;181;;frater;LienFamille;1
180;182;;frater;LienFamille;1
180;1064;;filius;LienFamille;1
181;182;;frater;LienFamille;1
181;1064;;filius;LienFamille;1
181;1064;;heres;LienFamille;1
182;1064;;filius;LienFamille;1
182;1064;;heres;LienFamille;1
183;736;;filia;LienFamille;1
184;893;;filia;LienFamille;1
184;947;;uxor;LienFamille;1
186;949;;filius;LienFamille;1
186;949;;heres;LienFamille;1
187;1042;;filius;LienFamille;1
188;187;;frater;LienFamille;1
188;1042;;heres;LienFamille;1
189;936;;filia;LienFamille;1
189;866;;relicta;LienFamille;1
189;936;;heres;LienFamille;1
190;832;;familiaris;LienProfessionel;1
192;701;;heres;LienFamille;1
194;1039;;heres;LienFamille;1
194;1039;;nepos;LienFamille;1
199;724;;heres;LienFamille;1
201;202;;frater;LienFamille;1
201;1080;;apothecarius;LienProfessionel;1
201;1052;;filius;LienFamille;1
201;1080;;hostiarius;LienProfessionel;1
201;1052;;heres;LienFamille;1
202;1052;;heres;LienFamille;1
202;1052;;filius;LienFamille;1
203;805;;heres;LienFamille;1
204;1051;;heres;LienFamille;1
206;206;;nepos;LienFamille;1
207;1034;;heres;LienFamille;1
208;966;;relicta;LienFamille;1
211;941;;heres;LienFamille;1
211;941;;filius;LienFamille;1
212;213;;conjuges;LienFamille;1
214;215;;frater;LienFamille;1
214;1047;;heres;LienFamille;1
214;1047;;filius;LienFamille;1
215;1047;;heres;LienFamille;1
215;1047;;filius;LienFamille;1
217;884;;heres;LienFamille;1
218;1059;;filia;LienFamille;1
218;1059;;heres;LienFamille;1
219;1008;;uxor;LienFamille;1
219;1069;;relicta;LienFamille;1
219;119;;mater;LienFamille;1
219;858;;relicta;LienFamille;1
