"idConfront","localisation","idBien1","idBien2","idInvariant","idQuartierParoisse","localisationTN"
1128,"in compito-sive-cantono",161,NULL,8,NULL,"a l angle de"
1131,"in compito-sive-cantono",167,NULL,8,NULL,"a l angle de"
1135,"in compito-sive-cantono",171,NULL,8,NULL,"a l angle de"
1157,"in compito-sive-cantono",159,NULL,9,NULL,"a l angle de"
1162,"in compito-sive-cantono",161,NULL,9,NULL,"a l angle de"
1171,"in compito-sive-cantono",167,NULL,9,NULL,"a l angle de"
1188,"in compito-sive-cantono",149,NULL,10,NULL,"a l angle de"
1248,"in compito-sive-cantono",140,NULL,12,NULL,"a l angle de"
1291,"in compito-sive-cantono",77,NULL,16,NULL,"a l angle de"
1456,"in compito-sive-cantono",171,NULL,97,NULL,"a l angle de"
1510,"in compito-sive-cantono",252,NULL,114,NULL,"a l angle de"
1976,"in compito-sive-cantono",1023,NULL,33,NULL,"a l angle de"
2273,"in compito-sive-cantono",1126,NULL,20,NULL,"a l angle de"
4253,"in-angulo",7053,NULL,624,NULL,"a l angle de"
4459,"in-angulo",7187,NULL,485,NULL,"a l angle de"
2232,"in-cantono",1114,NULL,215,NULL,"a l angle de"
1294,"in-capite",196,NULL,16,NULL,"au debut de"
1301,"in-capite",204,NULL,16,NULL,"au debut de"
1311,"in-capite",56,NULL,17,NULL,"au debut de"
1328,"in-capite",465,NULL,17,NULL,"au debut de"
1372,"in-capite",46,NULL,54,NULL,"au debut de"
1884,"in-capite",6010,NULL,25,NULL,"au debut de"
1899,"in-capite",6020,NULL,211,NULL,"au debut de"
2142,"in-capite",1081,NULL,47,NULL,"au debut de"
4621,"in-capite",7261,NULL,445,NULL,"au debut de"
4713,"in-capite",7448,NULL,711,NULL,"au debut de"
4744,"in-capite",7469,NULL,37,NULL,"au debut de"
